#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 143.7529907227 153.4172821045 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2373264134 0.6165972948 112.9149093628 130.7103881836 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4616116881 1.1577017307 84.9947509766 112.2254638672 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6780994534 1.6694158316 61.0310974121 95.9544296265 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.8852748275 2.1567285061 42.1545562744 81.8746414185 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.0823040009 2.6209311485 27.8931999207 70.1558151245 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.2692059278 3.0620603561 17.0474224091 60.7846183777 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.4474581480 3.4803166389 8.6103544235 53.6647529602 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.6186560392 3.8768653870 2.0165035725 48.4544677734 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.7840127945 4.2536020279 -3.0681328773 44.7156562805 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.9442582130 4.6125588417 -7.0009164810 42.0833930969 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.1002228260 4.9553575516 -10.0641736984 40.2727584839 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.2527587414 5.2832174301 -12.4603757858 39.0360107422 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.4025912285 5.5972905159 -14.3551187515 38.1806068420 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.5503711700 5.8986353874 -15.8764581680 37.5837554932 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.6965644360 6.1886267662 -17.1097049713 37.1819610596 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.8414664268 6.4684944153 -18.1057758331 36.9180564880 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.9852547646 6.7393255234 -18.9147529602 36.7427215576 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.1281583309 7.0020713806 -19.5764465332 36.6247062683 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.2703835964 7.2576155663 -20.1229438782 36.5499801636 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.4119980335 7.5068426132 -20.5730495453 36.4921188354 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.5530481339 7.7505354881 -20.9566116333 36.4575424194 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.6935954094 7.9894075394 -21.2842330933 36.4459648132 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.8336231709 8.2240543365 -21.5633831024 36.4549102783 0.0000000000 0.0000000000 0.0000000000 0.0000000000
