#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 143.7529907227 153.4172821045 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.2373267859 0.6165964007 112.9149322510 130.7103729248 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.4616183639 1.1577224731 84.9946060181 112.2254562378 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.6781073213 1.6694713831 61.0305938721 95.9545059204 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.8853008747 2.1568298340 42.1539878845 81.8746032715 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.0823490620 2.6211104393 27.8929214478 70.1558532715 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.2692691088 3.0623629093 17.0477790833 60.7847175598 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.4475489855 3.4807555676 8.6111173630 53.6647605896 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.6187757254 3.8774759769 2.0168328285 48.4549598694 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.7841713428 4.2543702126 -3.0680210590 44.7164878845 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-1.9444755316 4.6135044098 -7.0010261536 42.0843925476 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.1005132198 4.9564957619 -10.0640020370 40.2738723755 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.2531256676 5.2845683098 -12.4606437683 39.0378761292 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.4030652046 5.5988636017 -14.3566589355 38.1841850281 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.5509836674 5.9004445076 -15.8798694611 37.5889167786 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.6973230839 6.1906781197 -17.1137924194 37.1889190674 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.8423802853 6.4708080292 -18.1092338562 36.9262580872 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-2.9863741398 6.7419152260 -18.9172687531 36.7536087036 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.1294984818 7.0049662590 -19.5759716034 36.6327857971 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.2719426155 7.2608556747 -20.1205196381 36.5544929504 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.4137711525 7.5104408264 -20.5702228546 36.4907913208 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.5550684929 7.7544984818 -20.9564437866 36.4535560608 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-3.6958601475 7.9937300682 -21.2895870209 36.4413070679 0.0000000000 0.0000000000 0.0000000000 0.0000000000
