#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 89.5015106201 78.0862045288 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1514614969 0.4548845589 54.2597274780 50.8419570923 0.0000000000 0.0000000000 -0.0811566785 0.9825988412
-0.3064216375 0.8267349005 49.8800392151 43.0408973694 0.0000000000 0.0000000000 -0.1521618515 1.7568527460
-0.4641486406 1.1718895435 48.7392768860 40.4019470215 0.0000000000 0.0000000000 -0.2076839954 2.4112393856
-0.6238933802 1.5039870739 46.1918869019 38.2246475220 0.0000000000 0.0000000000 -0.2488132417 2.9735252857
-0.7842446566 1.8287272453 42.3935165405 36.2830505371 0.0000000000 0.0000000000 -0.2768640518 3.4625108242
-0.9434825182 2.1469523907 37.8593482971 34.5687446594 0.0000000000 0.0000000000 -0.2934622169 3.8882226944
-1.0999083519 2.4587359428 32.9971427917 33.1432838440 0.0000000000 0.0000000000 -0.3006222546 4.2566876411
-1.2518874407 2.7628104687 28.0191669464 31.9625892639 0.0000000000 0.0000000000 -0.2987720668 4.5723690987
-1.3982013464 3.0580627918 23.0481262207 31.0432128906 0.0000000000 0.0000000000 -0.2885213792 4.8382544518
-1.5377295017 3.3432588577 18.2860279083 30.4058837891 0.0000000000 0.0000000000 -0.2705398500 5.0570888519
-1.6694091558 3.6169795990 13.9493780136 30.0569038391 0.0000000000 0.0000000000 -0.2456069142 5.2313594818
-1.7924916744 3.8782031536 10.1827039719 29.9442119598 0.0000000000 0.0000000000 -0.2145481855 5.3634133339
-1.9066243172 4.1264925003 7.0770683289 29.9563007355 0.0000000000 0.0000000000 -0.1784288734 5.4557361603
-2.0119097233 4.3620433807 4.6236138344 30.0253486633 0.0000000000 0.0000000000 -0.1384277791 5.5112667084
-2.1084940434 4.5852031708 2.7583506107 30.1094989777 0.0000000000 0.0000000000 -0.0958488360 5.5332713127
-2.1968221664 4.7968316078 1.4076405764 30.1608867645 0.0000000000 0.0000000000 -0.0518057682 5.5254201889
-2.2775483131 4.9981341362 0.5067816377 30.1497745514 0.0000000000 0.0000000000 -0.0073054223 5.4914851189
-2.3513100147 5.1902122498 -0.0038288755 30.0707092285 0.0000000000 0.0000000000 0.0367733203 5.4352889061
-2.4187116623 5.3740353584 -0.1745384336 29.9266529083 0.0000000000 0.0000000000 0.0797368661 5.3604502678
-2.4803795815 5.5507078171 -0.0475870967 29.7293624878 0.0000000000 0.0000000000 0.1209302470 5.2703447342
-2.5369927883 5.7214069366 0.3403301537 29.4956722260 0.0000000000 0.0000000000 0.1597511917 5.1681690216
-2.5892226696 5.8872308731 0.9579561949 29.2469539642 0.0000000000 0.0000000000 0.1957655847 5.0569677353
-2.6377151012 6.0492105484 1.7795521021 29.0072517395 0.0000000000 0.0000000000 0.2285988033 4.9394669533
-2.6831457615 6.2083516121 2.7821891308 28.8007888794 0.0000000000 0.0000000000 0.2579391599 4.8183174133
-2.7262418270 6.3658328056 3.9480714798 28.6502399445 0.0000000000 0.0000000000 0.2835945189 4.6958174706
-2.7675821781 6.5223832130 5.2592763901 28.5734500885 0.0000000000 0.0000000000 0.3054378033 4.5740528107
-2.8078331947 6.6789126396 6.7011609077 28.5884113312 0.0000000000 0.0000000000 0.3234122694 4.4547886848
-2.8475394249 6.8360419273 8.2508859634 28.7052574158 0.0000000000 0.0000000000 0.3375734389 4.3396234512
-2.8873553276 6.9946489334 9.8864555359 28.9292182922 0.0000000000 0.0000000000 0.3479950428 4.2299551964
-2.9278702736 7.1555199623 11.5877428055 29.2505702972 0.0000000000 0.0000000000 0.3547729552 4.1269698143
-2.9697287083 7.3196001053 13.3309440613 29.6576728821 0.0000000000 0.0000000000 0.3581595123 4.0318765640
-3.0135288239 7.4875869751 15.0811529160 30.1310997009 0.0000000000 0.0000000000 0.3583776355 3.9459497929
-3.0597887039 7.6601758003 16.7699489594 30.6260089874 0.0000000000 0.0000000000 0.3557758033 3.8703975677
-3.1089904308 7.8377351761 18.3361721039 31.0976123810 0.0000000000 0.0000000000 0.3506519496 3.8064160347
-3.1615698338 8.0205450058 19.7063694000 31.4880828857 0.0000000000 0.0000000000 0.3433543146 3.7551524639
-3.2178003788 8.2086658478 20.8081436157 31.7447662354 0.0000000000 0.0000000000 0.3341889083 3.7177882195
-3.2779114246 8.4023799896 21.5813102722 31.8206291199 0.0000000000 0.0000000000 0.3235150874 3.6954050064
-3.3417742252 8.6013565063 22.0024547577 31.6936416626 0.0000000000 0.0000000000 0.3117384911 3.6885831356
-3.4093327522 8.8053636551 22.0753269196 31.3668308258 0.0000000000 0.0000000000 0.2993588448 3.6973845959
-3.4801950455 9.0135993958 21.8410396576 30.8741779327 0.0000000000 0.0000000000 0.2869017422 3.7211463451
-3.5537803173 9.2251806259 21.3647651672 30.2700138092 0.0000000000 0.0000000000 0.2749276161 3.7582204342
-3.6295595169 9.4393100739 20.7172679901 29.6122264862 0.0000000000 0.0000000000 0.2639082968 3.8062794209
-3.7068839073 9.6550712585 19.9689693451 28.9620742798 0.0000000000 0.0000000000 0.2542110085 3.8625085354
-3.7853374481 9.8718395233 19.1812896729 28.3683700562 0.0000000000 0.0000000000 0.2462581992 3.9237041473
-3.8644485474 10.0889186859 18.4082622528 27.8615303040 0.0000000000 0.0000000000 0.2402161509 3.9867959023
-3.9437980652 10.3056488037 17.6926288605 27.4521713257 0.0000000000 0.0000000000 0.2362666279 4.0489807129
-4.0231666565 10.5216884613 17.0654220581 27.1388645172 0.0000000000 0.0000000000 0.2343857288 4.1080641747
-4.1023621559 10.7367620468 16.5564384460 26.9190120697 0.0000000000 0.0000000000 0.2344520241 4.1624827385
-4.1811542511 10.9503898621 16.1798744202 26.7746295929 0.0000000000 0.0000000000 0.2363725156 4.2112483978
-4.2595515251 11.1628360748 15.9496297836 26.6811389923 0.0000000000 0.0000000000 0.2399455160 4.2539391518
-4.3374271393 11.3738689423 15.8681640625 26.6112174988 0.0000000000 0.0000000000 0.2449274212 4.2905611992
-4.4147548676 11.5834703445 15.9220590591 26.5380344391 0.0000000000 0.0000000000 0.2510274053 4.3214111328
-4.4916815758 11.7920227051 16.0910396576 26.4360885620 0.0000000000 0.0000000000 0.2579946518 4.3468980789
-4.5683684349 11.9998149872 16.3407840729 26.2857322693 0.0000000000 0.0000000000 0.2655300200 4.3676800728
-4.6450738907 12.2070016861 16.6323585510 26.0817756653 0.0000000000 0.0000000000 0.2732091844 4.3844313622
-4.7220711708 12.4140043259 16.9239158630 25.8248786926 0.0000000000 0.0000000000 0.2806836963 4.3978281021
-4.7995901108 12.6210975647 17.1793708801 25.5254669189 0.0000000000 0.0000000000 0.2876827717 4.4083442688
-4.8776698112 12.8281860352 17.3654518127 25.2042007446 0.0000000000 0.0000000000 0.2940243781 4.4162735939
-4.9564070702 13.0352878571 17.4551658630 24.8825531006 0.0000000000 0.0000000000 0.2995182276 4.4217834473
-5.0358695984 13.2424106598 17.4303264618 24.5797958374 0.0000000000 0.0000000000 0.3039878607 4.4249815941
-5.1160855293 13.4495468140 17.2809734344 24.3091201782 0.0000000000 0.0000000000 0.3073573112 4.4258909225
-5.1968178749 13.6561555862 17.0082092285 24.0738067627 0.0000000000 0.0000000000 0.3096030653 4.4243631363
-5.2779340744 13.8622436523 16.6261100769 23.8747768402 0.0000000000 0.0000000000 0.3107481599 4.4203577042
-5.3592605591 14.0677013397 16.1577033997 23.7066287994 0.0000000000 0.0000000000 0.3108987808 4.4137420654
-5.4404997826 14.2722377777 15.6321430206 23.5603122711 0.0000000000 0.0000000000 0.3101637959 4.4042983055
-5.5214166641 14.4757337570 15.0782651901 23.4199390411 0.0000000000 0.0000000000 0.3086017668 4.3918004036
-5.6017460823 14.6778116226 14.5245685577 23.2705116272 0.0000000000 0.0000000000 0.3063398898 4.3759756088
-5.6813893318 14.8786020279 13.9938631058 23.0994281769 0.0000000000 0.0000000000 0.3034854233 4.3565554619
-5.7601699829 15.0779218674 13.5045042038 22.9005413055 0.0000000000 0.0000000000 0.3001717329 4.3334593773
-5.8379578590 15.2756175995 13.0679321289 22.6740818024 0.0000000000 0.0000000000 0.2965612710 4.3066158295
-5.9146366119 15.4715843201 12.6948423386 22.4300708771 0.0000000000 0.0000000000 0.2927784026 4.2761445045
-5.9900932312 15.6656160355 12.3904867172 22.1811523438 0.0000000000 0.0000000000 0.2888480723 4.2420601845
-6.0643553734 15.8578691483 12.1531991959 21.9387397766 0.0000000000 0.0000000000 0.2848052382 4.2046108246
-6.1374483109 16.0482273102 11.9755163193 21.7143459320 0.0000000000 0.0000000000 0.2806868553 4.1640763283
-6.2093548775 16.2366733551 11.8475608826 21.5191326141 0.0000000000 0.0000000000 0.2765291631 4.1207847595
-6.2802500725 16.4233531952 11.7562942505 21.3543968201 0.0000000000 0.0000000000 0.2723502219 4.0751833916
-6.3501644135 16.6082420349 11.6889734268 21.2195720673 0.0000000000 0.0000000000 0.2681551278 4.0277633667
-6.4193015099 16.7916889191 11.6312189102 21.1106014252 0.0000000000 0.0000000000 0.2639409900 3.9791173935
-6.4876861572 16.9736251831 11.5726165771 21.0196590424 0.0000000000 0.0000000000 0.2597340941 3.9298605919
-6.5555152893 17.1544361115 11.5028438568 20.9368572235 0.0000000000 0.0000000000 0.2554993033 3.8805496693
-6.6227416992 17.3339824677 11.4120283127 20.8491115570 0.0000000000 0.0000000000 0.2512682378 3.8316245079
-6.6893949509 17.5120429993 11.2948217392 20.7479248047 0.0000000000 0.0000000000 0.2470911145 3.7834761143
-6.7555689812 17.6888237000 11.1529693604 20.6316375732 0.0000000000 0.0000000000 0.2430229634 3.7363266945
-6.8213529587 17.8646373749 10.9893302917 20.5009326935 0.0000000000 0.0000000000 0.2391102165 3.6901946068
-6.8867859840 18.0395412445 10.8091688156 20.3605499268 0.0000000000 0.0000000000 0.2353577465 3.6451427937
-6.9517049789 18.2133159637 10.6206007004 20.2168331146 0.0000000000 0.0000000000 0.2317636609 3.6012461185
-7.0162014961 18.3861141205 10.4328393936 20.0775051117 0.0000000000 0.0000000000 0.2282898426 3.5585296154
-7.0802083015 18.5577850342 10.2548894882 19.9469242096 0.0000000000 0.0000000000 0.2249664962 3.5169224739
-7.1436438560 18.7281513214 10.0924787521 19.8286857605 0.0000000000 0.0000000000 0.2217884213 3.4764089584
-7.2065091133 18.8973159790 9.9508152008 19.7231864929 0.0000000000 0.0000000000 0.2188151330 3.4368894100
-7.2688760757 19.0654430389 9.8331346512 19.6293907166 0.0000000000 0.0000000000 0.2161042988 3.3982813358
-7.3307113647 19.2324829102 9.7397947311 19.5440196991 0.0000000000 0.0000000000 0.2137080431 3.3605971336
-7.3920836449 19.3985137939 9.6689500809 19.4612541199 0.0000000000 0.0000000000 0.2116573304 3.3238966465
-7.4530735016 19.5637073517 9.6162662506 19.3767585754 0.0000000000 0.0000000000 0.2099568993 3.2883849144
-7.5137524605 19.7281627655 9.5753488541 19.2851562500 0.0000000000 0.0000000000 0.2085924745 3.2542152405
