#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 89.5015106201 78.0862045288 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1478439718 0.4546339214 54.2586174011 50.8413391113 0.0000000000 0.0000000000 -0.0895442441 0.9810320139
-0.2989128232 0.8234412074 49.8960762024 43.0460586548 0.0000000000 0.0000000000 -0.1762943417 1.7706676722
-0.4534697533 1.1638885736 48.7604179382 40.4069633484 0.0000000000 0.0000000000 -0.2556820214 2.4565093517
-0.6105152965 1.4902334213 46.2045822144 38.2215995789 0.0000000000 0.0000000000 -0.3283426762 3.0672955513
-0.7683931589 1.8083163500 42.3880577087 36.2616195679 0.0000000000 0.0000000000 -0.3946003020 3.6226899624
-0.9253747463 2.1192851067 37.8327445984 34.5155448914 0.0000000000 0.0000000000 -0.4554816186 4.1339712143
-1.0794878006 2.4229893684 32.9437942505 33.0487251282 0.0000000000 0.0000000000 -0.5119912624 4.6079978943
-1.2289270163 2.7181563377 27.9282684326 31.8261394501 0.0000000000 0.0000000000 -0.5642354488 5.0490431786
-1.3723046780 3.0034399033 22.9173660278 30.8525943756 0.0000000000 0.0000000000 -0.6119778156 5.4595360756
-1.5084095001 3.2774670124 18.1100044250 30.1586933136 0.0000000000 0.0000000000 -0.6550216675 5.8409471512
-1.6361316442 3.5387477875 13.7208242416 29.7541656494 0.0000000000 0.0000000000 -0.6930066943 6.1938695908
-1.7546364069 3.7860991955 9.9009809494 29.5865154266 0.0000000000 0.0000000000 -0.7255163789 6.5186767578
-1.8635340929 4.0189409256 6.7342104912 29.5534248352 0.0000000000 0.0000000000 -0.7524688244 6.8157439232
-1.9628453255 4.2372951508 4.2145304680 29.5810260773 0.0000000000 0.0000000000 -0.7739681602 7.0856533051
-2.0528104305 4.4415645599 2.2789676189 29.6153221130 0.0000000000 0.0000000000 -0.7903634906 7.3294019699
-2.1338877678 4.6326379776 0.8505503535 29.6178703308 0.0000000000 0.0000000000 -0.8019672632 7.5484209061
-2.2067332268 4.8116827011 -0.1384853125 29.5577373505 0.0000000000 0.0000000000 -0.8091684580 7.7441859245
-2.2720148563 4.9798965454 -0.7462363243 29.4265785217 0.0000000000 0.0000000000 -0.8123852611 7.9181699753
-2.3304388523 5.1385111809 -1.0246053934 29.2235794067 0.0000000000 0.0000000000 -0.8120164275 8.0719966888
-2.3826229572 5.2886428833 -1.0185543299 28.9577846527 0.0000000000 0.0000000000 -0.8085097671 8.2073268890
-2.4292562008 5.4315218925 -0.7648906708 28.6403217316 0.0000000000 0.0000000000 -0.8022579551 8.3258543015
-2.4709448814 5.5681023598 -0.2975610197 28.2923088074 0.0000000000 0.0000000000 -0.7937390804 8.4292335510
-2.5083334446 5.6995439529 0.3583083749 27.9318714142 0.0000000000 0.0000000000 -0.7833230495 8.5191135406
-2.5420646667 5.8269395828 1.1759747267 27.5796585083 0.0000000000 0.0000000000 -0.7713251710 8.5971927643
-2.5726833344 5.9511442184 2.1335775852 27.2571830750 0.0000000000 0.0000000000 -0.7580669522 8.6651239395
-2.6008124352 6.0731110573 3.2113237381 26.9831733704 0.0000000000 0.0000000000 -0.7438542843 8.7244434357
-2.6270666122 6.1937460899 4.3905472755 26.7727241516 0.0000000000 0.0000000000 -0.7289564610 8.7766418457
-2.6520576477 6.3140802383 5.6522860527 26.6413688660 0.0000000000 0.0000000000 -0.7136600614 8.8232784271
-2.6762666702 6.4346904755 6.9788632393 26.5960197449 0.0000000000 0.0000000000 -0.6982536316 8.8658151627
-2.7002551556 6.5563993454 8.3556480408 26.6413459778 0.0000000000 0.0000000000 -0.6830727458 8.9057235718
-2.7245402336 6.6799364090 9.7650270462 26.7705955505 0.0000000000 0.0000000000 -0.6682966352 8.9444971085
-2.7496366501 6.8059477806 11.1823492050 26.9643230438 0.0000000000 0.0000000000 -0.6541760564 8.9834709167
-2.7760243416 6.9351005554 12.5824203491 27.1963577271 0.0000000000 0.0000000000 -0.6409398913 9.0239772797
-2.8042676449 7.0681786537 13.9257230759 27.4395370483 0.0000000000 0.0000000000 -0.6287450194 9.0672645569
-2.8347632885 7.2056393623 15.1623630524 27.6552257538 0.0000000000 0.0000000000 -0.6176735759 9.1145009995
-2.8678722382 7.3476634026 16.2343826294 27.7993679047 0.0000000000 0.0000000000 -0.6077713370 9.1666936874
-2.9039778709 7.4947581291 17.0898323059 27.8320808411 0.0000000000 0.0000000000 -0.5990018249 9.2245597839
-2.9432106018 7.6468968391 17.6889286041 27.7200965881 0.0000000000 0.0000000000 -0.5913068056 9.2885456085
-2.9855484962 7.8036065102 18.0203762054 27.4529533386 0.0000000000 0.0000000000 -0.5845481157 9.3587474823
-3.0308849812 7.9646716118 18.0893478394 27.0351295471 0.0000000000 0.0000000000 -0.5785855651 9.4348888397
-3.0789394379 8.1293888092 17.9244918823 26.4931526184 0.0000000000 0.0000000000 -0.5732053518 9.5162172318
-3.1292505264 8.2968215942 17.5751266479 25.8721675873 0.0000000000 0.0000000000 -0.5681527853 9.6018209457
-3.1814849377 8.4663915634 17.0931968689 25.2282180786 0.0000000000 0.0000000000 -0.5631751418 9.6905918121
-3.2351043224 8.6368417740 16.5334606171 24.6076908112 0.0000000000 0.0000000000 -0.5580018163 9.7811708450
-3.2897465229 8.8075551987 15.9408397675 24.0486698151 0.0000000000 0.0000000000 -0.5523387194 9.8722620010
-3.3450527191 8.9779653549 15.3507204056 23.5802974701 0.0000000000 0.0000000000 -0.5458506942 9.9626388550
-3.4007987976 9.1476783752 14.7941226959 23.2125930786 0.0000000000 0.0000000000 -0.5383283496 10.0513315201
-3.4566714764 9.3162584305 14.3030567169 22.9441413879 0.0000000000 0.0000000000 -0.5295885205 10.1375913620
-3.5123867989 9.4832334518 13.9019298553 22.7590618134 0.0000000000 0.0000000000 -0.5195684433 10.2208499908
-3.5677797794 9.6483621597 13.6091279984 22.6327571869 0.0000000000 0.0000000000 -0.5081558228 10.3008327484
-3.6228637695 9.8120622635 13.4327535629 22.5330848694 0.0000000000 0.0000000000 -0.4953704476 10.3773727417
-3.6774752140 9.9739742279 13.3696222305 22.4300823212 0.0000000000 0.0000000000 -0.4811936617 10.4505004883
-3.7317392826 10.1346035004 13.4145126343 22.3028812408 0.0000000000 0.0000000000 -0.4656322300 10.5204334259
-3.7857503891 10.2940616608 13.5469331741 22.1300220490 0.0000000000 0.0000000000 -0.4487920403 10.5873661041
-3.8397395611 10.4528551102 13.7411899567 21.9070625305 0.0000000000 0.0000000000 -0.4308072925 10.6515169144
-3.8938174248 10.6110324860 13.9711799622 21.6395435333 0.0000000000 0.0000000000 -0.4117350876 10.7131395340
