#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 44.6378211975 48.0796394348 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1760869175 0.4278917909 24.6057758331 41.4917793274 0.0000000000 0.0000000000 -0.0569676757 0.9582343102
-0.3281434476 0.8191517591 16.8928756714 37.0913238525 0.0000000000 0.0000000000 -0.0811237618 1.7363208532
-0.4649951756 1.1945863962 13.2867937088 35.6628875732 0.0000000000 0.0000000000 -0.0791233182 2.3866245747
-0.5912446976 1.5574344397 10.7402963638 35.5451164246 0.0000000000 0.0000000000 -0.0553988367 2.9146327972
-0.7093365788 1.9107604027 8.3430862427 35.5723342896 0.0000000000 0.0000000000 -0.0160517655 3.3376097679
-0.8202506304 2.2558555603 6.2420082092 35.5287322998 0.0000000000 0.0000000000 0.0333905853 3.6713285446
-0.9244310260 2.5937736034 4.8228282928 35.4005317688 0.0000000000 0.0000000000 0.0890068263 3.9305696487
-1.0226817131 2.9255878925 4.3305144310 35.1987648010 0.0000000000 0.0000000000 0.1473688930 4.1290817261
-1.1160057783 3.2526471615 4.7745733261 34.9842872620 0.0000000000 0.0000000000 0.2049566060 4.2791433334
-1.2056722641 3.5765254498 6.0060520172 34.8374633789 0.0000000000 0.0000000000 0.2594146132 4.3918662071
-1.2930940390 3.8988766670 7.7708759308 34.8302001953 0.0000000000 0.0000000000 0.3090111911 4.4766125679
-1.3799283504 4.2213478088 9.7096948624 34.9464340210 0.0000000000 0.0000000000 0.3518993258 4.5409059525
-1.4675936699 4.5452423096 11.3738651276 35.0349922180 0.0000000000 0.0000000000 0.3867510855 4.5907120705
-1.5570241213 4.8711056709 12.4168548584 34.9122581482 0.0000000000 0.0000000000 0.4127565026 4.6311168671
-1.6487922668 5.1991658211 12.7966403961 34.5265693665 0.0000000000 0.0000000000 0.4302583337 4.6667585373
-1.7429268360 5.5290565491 12.7534856796 33.9917526245 0.0000000000 0.0000000000 0.4399112165 4.7009825706
-1.8391975164 5.8601794243 12.6063299179 33.4674453735 0.0000000000 0.0000000000 0.4427919686 4.7361145020
-1.9371727705 6.1917800903 12.5879230499 33.0266876221 0.0000000000 0.0000000000 0.4402683675 4.7737889290
-2.0365896225 6.5233683586 12.7135667801 32.5983047485 0.0000000000 0.0000000000 0.4335053861 4.8153271675
-2.1373889446 6.8547716141 12.8038339615 32.0392532349 0.0000000000 0.0000000000 0.4235978723 4.8610491753
-2.2393574715 7.1855926514 12.6057739258 31.2987403870 0.0000000000 0.0000000000 0.4116576016 4.9096693993
-2.3422684669 7.5155696869 11.9405775070 30.4718513489 0.0000000000 0.0000000000 0.3985493481 4.9580316544
-2.4455492496 7.8439121246 10.8254575729 29.7176704407 0.0000000000 0.0000000000 0.3853550553 5.0017719269
-2.5484585762 8.1697902679 9.4500160217 29.1510181427 0.0000000000 0.0000000000 0.3732611835 5.0372786522
-2.6502804756 8.4926815033 8.0658140182 28.7723770142 0.0000000000 0.0000000000 0.3632608652 5.0612277985
-2.7502336502 8.8119306564 6.9045228958 28.4738636017 0.0000000000 0.0000000000 0.3559993505 5.0716376305
-2.8479137421 9.1273603439 6.0831112862 28.1309413910 0.0000000000 0.0000000000 0.3518908322 5.0676517487
-2.9430718422 9.4385547638 5.5956296921 27.6983547211 0.0000000000 0.0000000000 0.3509800136 5.0495901108
-3.0357928276 9.7454967499 5.3514151573 27.2104396820 0.0000000000 0.0000000000 0.3527865410 5.0187926292
-3.1262774467 10.0482187271 5.2250266075 26.7519092560 0.0000000000 0.0000000000 0.3566159308 4.9772977829
-3.2147262096 10.3468303680 5.0868077278 26.3878250122 0.0000000000 0.0000000000 0.3614901900 4.9272580147
-3.3013701439 10.6415624619 4.8567061424 26.1310310364 0.0000000000 0.0000000000 0.3663716912 4.8713793755
-3.3862748146 10.9325962067 4.5598049164 25.9450283051 0.0000000000 0.0000000000 0.3705868721 4.8119215965
-3.4693830013 11.2200040817 4.2810034752 25.7710247040 0.0000000000 0.0000000000 0.3734788001 4.7502326965
-3.5508081913 11.5041055679 4.1244773865 25.5559196472 0.0000000000 0.0000000000 0.3744125068 4.6874718666
-3.6306653023 11.7850713730 4.1477622986 25.2795200348 0.0000000000 0.0000000000 0.3729891181 4.6244673729
-3.7091231346 12.0629816055 4.3472275734 24.9727363586 0.0000000000 0.0000000000 0.3690871298 4.5617513657
-3.7865839005 12.3381643295 4.6610927582 24.6992912292 0.0000000000 0.0000000000 0.3627749383 4.4995455742
-3.8634366989 12.6109151840 4.9726605415 24.5097980499 0.0000000000 0.0000000000 0.3542262912 4.4377989769
-3.9400341511 12.8815593719 5.1746034622 24.4068069458 0.0000000000 0.0000000000 0.3437380195 4.3757104874
-4.0165839195 13.1503486633 5.2026610374 24.3401527405 0.0000000000 0.0000000000 0.3317256570 4.3137483597
-4.0931863785 13.4174127579 5.0637931824 24.2660083771 0.0000000000 0.0000000000 0.3187336028 4.2526583672
-4.1698303223 13.6829214096 4.8326697350 24.1636085510 0.0000000000 0.0000000000 0.3051414788 4.1934232712
-4.2463927269 13.9468889236 4.6112070084 24.0425319672 0.0000000000 0.0000000000 0.2913950682 4.1366629601
-4.3228378296 14.2094507217 4.4765176773 23.9316768646 0.0000000000 0.0000000000 0.2779004872 4.0827116966
-4.3991203308 14.4705142975 4.4324831963 23.8497505188 0.0000000000 0.0000000000 0.2650108039 4.0314960480
-4.4752178192 14.7301530838 4.4211735725 23.7738780975 0.0000000000 0.0000000000 0.2529163957 3.9830274582
-4.5510888100 14.9882259369 4.3603386879 23.6760540009 0.0000000000 0.0000000000 0.2420319468 3.9371025562
-4.6267986298 15.2448854446 4.1933660507 23.5321521759 0.0000000000 0.0000000000 0.2325761318 3.8932127953
-4.7023320198 15.5001764297 3.9287455082 23.3525218964 0.0000000000 0.0000000000 0.2247898728 3.8511114120
-4.7775382996 15.7540063858 3.6254513264 23.1599082947 0.0000000000 0.0000000000 0.2187496424 3.8103127480
-4.8522152901 16.0061473846 3.3587949276 22.9734039307 0.0000000000 0.0000000000 0.2145135701 3.7699549198
-4.9262933731 16.2565860748 3.1841640472 22.7908287048 0.0000000000 0.0000000000 0.2120383382 3.7293298244
-4.9996495247 16.5051307678 3.1103742123 22.5879058838 0.0000000000 0.0000000000 0.2110925466 3.6884803772
-5.0723953247 16.7519664764 3.0995376110 22.3427181244 0.0000000000 0.0000000000 0.2115560025 3.6472375393
-5.1446142197 16.9971332550 3.0977237225 22.0578079224 0.0000000000 0.0000000000 0.2130803913 3.6058368683
-5.2163476944 17.2404918671 3.0552985668 21.7567234039 0.0000000000 0.0000000000 0.2153752297 3.5641689301
-5.2875652313 17.4818496704 2.9545407295 21.4788074493 0.0000000000 0.0000000000 0.2181739807 3.5222909451
-5.3583040237 17.7211017609 2.8094825745 21.2403335571 0.0000000000 0.0000000000 0.2212111354 3.4804618359
-5.4285736084 17.9582862854 2.6557796001 21.0418624878 0.0000000000 0.0000000000 0.2242708206 3.4388480186
-5.4983797073 18.1934719086 2.5277121067 20.8616104126 0.0000000000 0.0000000000 0.2271189988 3.3975052834
-5.5677261353 18.4267787933 2.4426643848 20.6723594666 0.0000000000 0.0000000000 0.2295432985 3.3572254181
-5.6365981102 18.6581783295 2.3905184269 20.4642868042 0.0000000000 0.0000000000 0.2314513475 3.3180630207
-5.7049741745 18.8875923157 2.3419406414 20.2531051636 0.0000000000 0.0000000000 0.2327785492 3.2800259590
-5.7728347778 19.1150131226 2.2693436146 20.0727138519 0.0000000000 0.0000000000 0.2334671915 3.2430806160
-5.8401374817 19.3404541016 2.1495580673 19.9442710876 0.0000000000 0.0000000000 0.2335295081 3.2068488598
-5.9069476128 19.5640621185 1.9878376722 19.8561630249 0.0000000000 0.0000000000 0.2330694795 3.1712932587
