#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 44.6378211975 48.0796394348 0.0000000000 0.0000000000 0.0000000000 0.0000000000
0.0000000000 0.0000000000 24.1890373230 41.0528831482 0.0000000000 0.0000000000 -0.1033619717 0.9513684511
0.0000000000 0.0000000000 16.7767963409 36.4794502258 0.0000000000 0.0000000000 -0.1820666492 1.7098716497
0.0000000000 0.0000000000 13.5650529861 35.0472946167 0.0000000000 0.0000000000 -0.2343717366 2.3320369720
0.0000000000 0.0000000000 11.3456048965 34.9079971313 0.0000000000 0.0000000000 -0.2614234984 2.8311312199
0.0000000000 0.0000000000 9.1876125336 34.8165397644 0.0000000000 0.0000000000 -0.2673605978 3.2293217182
0.0000000000 0.0000000000 7.3504781723 34.5047798157 0.0000000000 0.0000000000 -0.2566424906 3.5454623699
0.0000000000 0.0000000000 6.2841877937 34.0355949402 0.0000000000 0.0000000000 -0.2333123088 3.7939133644
0.0000000000 0.0000000000 6.1711816788 33.5485649109 0.0000000000 0.0000000000 -0.2008737177 3.9879920483
0.0000000000 0.0000000000 6.8169260025 33.2452621460 0.0000000000 0.0000000000 -0.1638505459 4.1380109787
0.0000000000 0.0000000000 7.8927783966 33.1997718811 0.0000000000 0.0000000000 -0.1257686168 4.2537875175
0.0000000000 0.0000000000 8.9573459625 33.3765754700 0.0000000000 0.0000000000 -0.0889149681 4.3440718651
0.0000000000 0.0000000000 9.5461235046 33.6436462402 0.0000000000 0.0000000000 -0.0549493432 4.4146084785
0.0000000000 0.0000000000 9.4479980469 33.8938713074 0.0000000000 0.0000000000 -0.0245379303 4.4692139626
0.0000000000 0.0000000000 8.7740583420 34.0536155701 0.0000000000 0.0000000000 0.0016012877 4.5118808746
0.0000000000 0.0000000000 7.7904706001 34.1239051819 0.0000000000 0.0000000000 0.0236884877 4.5441040993
0.0000000000 0.0000000000 6.7558760643 34.1558189392 0.0000000000 0.0000000000 0.0421932861 4.5666213036
0.0000000000 0.0000000000 5.8688678741 34.2073822021 0.0000000000 0.0000000000 0.0575508364 4.5787572861
0.0000000000 0.0000000000 5.2481479645 34.2861900330 0.0000000000 0.0000000000 0.0702018216 4.5803260803
0.0000000000 0.0000000000 4.9323773384 34.3961257935 0.0000000000 0.0000000000 0.0804437771 4.5717806816
