#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 178.6378631592 133.1120147705 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1188185737 0.4723911285 92.3929061890 78.7489395142 0.0000000000 0.0000000000 -0.0629246011 0.9904391170
-0.2355372161 0.8641675115 61.8025856018 49.8670616150 0.0000000000 0.0000000000 -0.1251175404 1.8302127123
-0.3597541153 1.2030133009 61.3675880432 43.1366081238 0.0000000000 0.0000000000 -0.1783555299 2.5292801857
-0.4930793047 1.5063481331 63.8685607910 42.5442581177 0.0000000000 0.0000000000 -0.2204235643 3.1084113121
-0.6335928440 1.7896293402 63.9622993469 42.1726531982 0.0000000000 0.0000000000 -0.2536844909 3.5926828384
-0.7788611054 2.0628211498 61.3157081604 40.3798828125 0.0000000000 0.0000000000 -0.2791416049 4.0019159317
-0.9266344309 2.3311049938 57.0171318054 38.0726776123 0.0000000000 0.0000000000 -0.2971898317 4.3505077362
-1.0747531652 2.5961396694 51.8703117371 35.8901062012 0.0000000000 0.0000000000 -0.3085218370 4.6474423409
-1.2215508223 2.8580598831 46.3328819275 33.8356819153 0.0000000000 0.0000000000 -0.3138475418 4.8994388580
-1.3654322624 3.1158301830 40.6601791382 31.9082355499 0.0000000000 0.0000000000 -0.3136071265 5.1111745834
-1.5050538778 3.3679947853 35.1223373413 30.2685585022 0.0000000000 0.0000000000 -0.3079862595 5.2863421440
-1.6392906904 3.6130926609 29.8969573975 29.1153240204 0.0000000000 0.0000000000 -0.2974449098 5.4276890755
-1.7673295736 3.8498244286 25.0577564240 28.3367500305 0.0000000000 0.0000000000 -0.2826037109 5.5379734039
-1.8886630535 4.0771389008 20.6600761414 27.8751773834 0.0000000000 0.0000000000 -0.2641700208 5.6196532249
-2.0030071735 4.2943682671 16.6850490570 27.6707496643 0.0000000000 0.0000000000 -0.2427176684 5.6751799583
-2.1102952957 4.5011186600 13.1005716324 27.7011184692 0.0000000000 0.0000000000 -0.2186962962 5.7068529129
-2.2106158733 4.6973052025 9.8892583847 27.9185390472 0.0000000000 0.0000000000 -0.1925133914 5.7168097496
