#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 89.5015106201 78.0862045288 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1589137167 0.4586961567 54.3330230713 50.8511009216 0.0000000000 0.0000000000 -0.0031790885 0.9882459044
-0.3157618940 0.8428150415 50.0077667236 43.1129913330 0.0000000000 0.0000000000 0.0351933837 1.7599787712
-0.4716679454 1.2072651386 48.9673042297 40.5057296753 0.0000000000 0.0000000000 0.1019524112 2.4233098030
-0.6274421811 1.5632677078 46.5448417664 38.3666648865 0.0000000000 0.0000000000 0.1894399077 3.0081226826
-0.7823750377 1.9135376215 42.8749160767 36.4802360535 0.0000000000 0.0000000000 0.2926746011 3.5318346024
-0.9358683825 2.2582657337 38.4624862671 34.8296089172 0.0000000000 0.0000000000 0.4081206918 4.0055761337
-1.0868399143 2.5974724293 33.7194290161 33.4577789307 0.0000000000 0.0000000000 0.5328151584 4.4358048439
-1.2344609499 2.9307377338 28.8699359894 32.3202209473 0.0000000000 0.0000000000 0.6647677422 4.8266587257
-1.3781478405 3.2575154305 24.0086860657 31.4443416595 0.0000000000 0.0000000000 0.8020471334 5.1807479858
-1.5173448324 3.5771353245 19.3583507538 30.8283653259 0.0000000000 0.0000000000 0.9426644444 5.4997868538
-1.6515015364 3.8890390396 15.1160020828 30.4828186035 0.0000000000 0.0000000000 1.0850350857 5.7851328850
-1.7802791595 4.1929435730 11.4279222488 30.3618202209 0.0000000000 0.0000000000 1.2278795242 6.0376715660
-1.9036915302 4.4890050888 8.3859167099 30.3540134430 0.0000000000 0.0000000000 1.3701066971 6.2585749626
-2.0218560696 4.7774548531 5.9823169708 30.3950595856 0.0000000000 0.0000000000 1.5103664398 6.4494075775
-2.1349840164 5.0586137772 4.1577639580 30.4457817078 0.0000000000 0.0000000000 1.6473644972 6.6120743752
-2.2434561253 5.3331031799 2.8553826809 30.4667243958 0.0000000000 0.0000000000 1.7799069881 6.7487392426
-2.3476381302 5.6014518738 2.0132300854 30.4316368103 0.0000000000 0.0000000000 1.9069681168 6.8615589142
-2.4479537010 5.8642630577 1.5757169724 30.3295288086 0.0000000000 0.0000000000 2.0277156830 6.9527592659
-2.5448412895 6.1221590042 1.4925523996 30.1712951660 0.0000000000 0.0000000000 2.1415412426 7.0245203972
-2.6387939453 6.3757610321 1.7191128731 29.9677543640 0.0000000000 0.0000000000 2.2481012344 7.0788650513
-2.7302651405 6.6256604195 2.2188415527 29.7375392914 0.0000000000 0.0000000000 2.3471665382 7.1177487373
-2.8196706772 6.8723731041 2.9614083767 29.5059165955 0.0000000000 0.0000000000 2.4386060238 7.1430225372
-2.9074778557 7.1164965630 3.9203925133 29.2921047211 0.0000000000 0.0000000000 2.5223038197 7.1564564705
-2.9941046238 7.3584580421 5.0740890503 29.1205272675 0.0000000000 0.0000000000 2.5982351303 7.1597843170
-3.0800662041 7.5988631248 6.4028153419 29.0159969330 0.0000000000 0.0000000000 2.6664416790 7.1545615196
-3.1657989025 7.8381304741 7.8858947754 28.9997501373 0.0000000000 0.0000000000 2.7270710468 7.1422586441
-3.2518289089 8.0768146515 9.4978046417 29.0857200623 0.0000000000 0.0000000000 2.7803237438 7.1242275238
-3.3385701180 8.3153438568 11.2025184631 29.2773380280 0.0000000000 0.0000000000 2.8264961243 7.1016836166
-3.4264316559 8.5541620255 12.9741621017 29.5745410919 0.0000000000 0.0000000000 2.8659431934 7.0757741928
-3.5157682896 8.7936697006 14.7769184113 29.9652633667 0.0000000000 0.0000000000 2.8990442753 7.0473799706
-3.6068401337 9.0340499878 16.5688838959 30.4281539917 0.0000000000 0.0000000000 2.9262928963 7.0174050331
-3.7001013756 9.2757606506 18.3006916046 30.9351463318 0.0000000000 0.0000000000 2.9481885433 6.9866156578
-3.7958362103 9.5189132690 19.9075374603 31.4348850250 0.0000000000 0.0000000000 2.9651992321 6.9556932449
-3.8943011761 9.7636642456 21.3080368042 31.8704643250 0.0000000000 0.0000000000 2.9777972698 6.9253363609
-3.9956851006 10.0102090836 22.4239673615 32.1872024536 0.0000000000 0.0000000000 2.9865114689 6.8963227272
-4.1000099182 10.2584733963 23.1942100525 32.3343429565 0.0000000000 0.0000000000 2.9918856621 6.8695592880
-4.2072272301 10.5084571838 23.5929889679 32.2846374512 0.0000000000 0.0000000000 2.9943704605 6.8459672928
-4.3170452118 10.7600202560 23.6277542114 32.0341720581 0.0000000000 0.0000000000 2.9944262505 6.8263988495
-4.4291663170 11.0129308701 23.3337497711 31.6017456055 0.0000000000 0.0000000000 2.9923775196 6.8113889694
-4.5432162285 11.2669582367 22.7821083069 31.0356998444 0.0000000000 0.0000000000 2.9885272980 6.8011198044
-4.6588087082 11.5217294693 22.0485706329 30.3911018372 0.0000000000 0.0000000000 2.9831602573 6.7953462601
-4.7754077911 11.7766017914 21.2150077820 29.7289905548 0.0000000000 0.0000000000 2.9764552116 6.7933888435
-4.8926734924 12.0312528610 20.3485622406 29.1010417938 0.0000000000 0.0000000000 2.9685752392 6.7942166328
-5.0103192329 12.2853479385 19.5002994537 28.5414276123 0.0000000000 0.0000000000 2.9597465992 6.7965488434
-5.1281495094 12.5386171341 18.7113914490 28.0737037659 0.0000000000 0.0000000000 2.9501154423 6.7992768288
-5.2459259033 12.7907924652 18.0145359039 27.7042388916 0.0000000000 0.0000000000 2.9398560524 6.8014879227
-5.3633890152 13.0415649414 17.4346828461 27.4302291870 0.0000000000 0.0000000000 2.9290008545 6.8025431633
-5.4804048538 13.2908992767 16.9897422791 27.2419147491 0.0000000000 0.0000000000 2.9176111221 6.8021025658
-5.5969290733 13.5389223099 16.6910076141 27.1220760345 0.0000000000 0.0000000000 2.9056913853 6.7999663353
-5.7129011154 13.7855920792 16.5408287048 27.0471439362 0.0000000000 0.0000000000 2.8932607174 6.7961969376
-5.8283348083 14.0310087204 16.5235996246 26.9901351929 0.0000000000 0.0000000000 2.8803339005 6.7909913063
-5.9432444572 14.2751731873 16.6141529083 26.9234008789 0.0000000000 0.0000000000 2.8669238091 6.7847876549
-6.0576567650 14.5181818008 16.7808876038 26.8244762421 0.0000000000 0.0000000000 2.8530757427 6.7779998779
-6.1718287468 14.7604980469 16.9897708893 26.6801719666 0.0000000000 0.0000000000 2.8388848305 6.7708940506
-6.2858333588 15.0021543503 17.2006435394 26.4864768982 0.0000000000 0.0000000000 2.8244552612 6.7637233734
-6.3998107910 15.2433252335 17.3757572174 26.2464351654 0.0000000000 0.0000000000 2.8099081516 6.7564463615
-6.5138411522 15.4840831757 17.4795475006 25.9694118500 0.0000000000 0.0000000000 2.7953150272 6.7486009598
-6.6279616356 15.7244663239 17.4867687225 25.6690483093 0.0000000000 0.0000000000 2.7807288170 6.7396330833
-6.7421455383 15.9642581940 17.3819217682 25.3696823120 0.0000000000 0.0000000000 2.7661809921 6.7289395332
-6.8563737869 16.2034168243 17.1570587158 25.0895519257 0.0000000000 0.0000000000 2.7516970634 6.7158660889
-6.9706068039 16.4418754578 16.8134994507 24.8410491943 0.0000000000 0.0000000000 2.7372148037 6.7000174522
-7.0847415924 16.6795501709 16.3648872375 24.6302852631 0.0000000000 0.0000000000 2.7227559090 6.6812186241
-7.1985926628 16.9162750244 15.8331794739 24.4583282471 0.0000000000 0.0000000000 2.7082786560 6.6595716476
-7.3120741844 17.1521072388 15.2470922470 24.3210048676 0.0000000000 0.0000000000 2.6937720776 6.6351513863
-7.4249868393 17.3868598938 14.6348772049 24.2074871063 0.0000000000 0.0000000000 2.6792371273 6.6080999374
-7.5372142792 17.6205234528 14.0257492065 24.1080265045 0.0000000000 0.0000000000 2.6646649837 6.5786581039
-7.6486868858 17.8530788422 13.4420862198 24.0088882446 0.0000000000 0.0000000000 2.6500229836 6.5468645096
-7.7593688965 18.0845813751 12.9024133682 23.8973617554 0.0000000000 0.0000000000 2.6353042126 6.5126953125
-7.8692388535 18.3150100708 12.4192600250 23.7673511505 0.0000000000 0.0000000000 2.6205542088 6.4761824608
-7.9781436920 18.5440921783 12.0017271042 23.6167850494 0.0000000000 0.0000000000 2.6058080196 6.4375157356
-8.0860023499 18.7717475891 11.6536369324 23.4500217438 0.0000000000 0.0000000000 2.5910668373 6.3969082832
-8.1929378510 18.9982414246 11.3718109131 23.2747612000 0.0000000000 0.0000000000 2.5763745308 6.3546209335
-8.2989711761 19.2235984802 11.1504468918 23.0996456146 0.0000000000 0.0000000000 2.5617859364 6.3108887672
-8.4042148590 19.4479274750 10.9789085388 22.9349384308 0.0000000000 0.0000000000 2.5473403931 6.2659606934
-8.5086746216 19.6711292267 10.8441905975 22.7886772156 0.0000000000 0.0000000000 2.5330750942 6.2199349403
-8.6123361588 19.8930797577 10.7341222763 22.6676731110 0.0000000000 0.0000000000 2.5189855099 6.1729159355
-8.7153015137 20.1139030457 10.6344108582 22.5720996857 0.0000000000 0.0000000000 2.5050699711 6.1250705719
-8.8175468445 20.3334808350 10.5330410004 22.4990673065 0.0000000000 0.0000000000 2.4913606644 6.0766210556
-8.9190950394 20.5518321991 10.4193220139 22.4422359467 0.0000000000 0.0000000000 2.4778673649 6.0279088020
-9.0200681686 20.7691745758 10.2847900391 22.3936843872 0.0000000000 0.0000000000 2.4646315575 5.9793105125
-9.1205320358 20.9855766296 10.1254959106 22.3452968597 0.0000000000 0.0000000000 2.4516494274 5.9312458038
-9.2204427719 21.2009544373 9.9396152496 22.2897129059 0.0000000000 0.0000000000 2.4389092922 5.8840293884
-9.3198919296 21.4154853821 9.7284898758 22.2221584320 0.0000000000 0.0000000000 2.4263341427 5.8379721642
-9.4188566208 21.6291618347 9.4960041046 22.1403675079 0.0000000000 0.0000000000 2.4139318466 5.7932209969
-9.5173635483 21.8420600891 9.2500438690 22.0459060669 0.0000000000 0.0000000000 2.4017770290 5.7497181892
-9.6154022217 22.0542163849 8.9994544983 21.9422931671 0.0000000000 0.0000000000 2.3898649216 5.7074012756
-9.7129478455 22.2655544281 8.7511329651 21.8335208893 0.0000000000 0.0000000000 2.3782088757 5.6661572456
-9.8100233078 22.4761219025 8.5132036209 21.7268428802 0.0000000000 0.0000000000 2.3668155670 5.6258473396
-9.9066095352 22.6858577728 8.2908210754 21.6270256042 0.0000000000 0.0000000000 2.3556740284 5.5863504410
-10.0026092529 22.8945922852 8.0889644623 21.5361633301 0.0000000000 0.0000000000 2.3447544575 5.5476002693
-10.0980386734 23.1023044586 7.9092164040 21.4567375183 0.0000000000 0.0000000000 2.3340342045 5.5095229149
-10.1928606033 23.3089294434 7.7545051575 21.3910388947 0.0000000000 0.0000000000 2.3234837055 5.4720921516
-10.2871751785 23.5146045685 7.6215777397 21.3354663849 0.0000000000 0.0000000000 2.3130903244 5.4352893829
-10.3810501099 23.7194995880 7.5072422028 21.2866992950 0.0000000000 0.0000000000 2.3028378487 5.3991379738
-10.4745273590 23.9237003326 7.4075365067 21.2409400940 0.0000000000 0.0000000000 2.2927370071 5.3636522293
-10.5677137375 24.1273555756 7.3179721832 21.1948318481 0.0000000000 0.0000000000 2.2827749252 5.3288760185
-10.6605682373 24.3303470612 7.2349748611 21.1448974609 0.0000000000 0.0000000000 2.2729728222 5.2948503494
-10.7531538010 24.5327796936 7.1543946266 21.0888977051 0.0000000000 0.0000000000 2.2633240223 5.2616415024
-10.8455276489 24.7347450256 7.0700793266 21.0258522034 0.0000000000 0.0000000000 2.2538683414 5.2293157578
-10.9377269745 24.9362754822 6.9778957367 20.9559535980 0.0000000000 0.0000000000 2.2445936203 5.1979393959
-11.0297355652 25.1373157501 6.8759279251 20.8817348480 0.0000000000 0.0000000000 2.2354693413 5.1675438881
