#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 89.5015106201 78.0862045288 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1520909965 0.4546721280 54.2580757141 50.8426322937 0.0000000000 0.0000000000 -0.0801790655 0.9827097654
-0.3079239726 0.8269395232 49.8876953125 43.0458145142 0.0000000000 0.0000000000 -0.1496492028 1.7574293613
-0.4666767120 1.1729938984 48.7504005432 40.4104537964 0.0000000000 0.0000000000 -0.2031984031 2.4123294353
-0.6275625229 1.5062421560 46.2004928589 38.2341308594 0.0000000000 0.0000000000 -0.2422997653 2.9749236107
-0.7890405655 1.8323249817 42.4001846313 36.2937507629 0.0000000000 0.0000000000 -0.2682305872 3.4639701843
-0.9494061470 2.1520497799 37.8659210205 34.5812911987 0.0000000000 0.0000000000 -0.2826802731 3.8896100521
-1.1070132256 2.4654126167 33.0037269592 33.1569442749 0.0000000000 0.0000000000 -0.2876624763 4.2579760551
-1.2602671385 2.7711572647 28.0263004303 31.9770202637 0.0000000000 0.0000000000 -0.2835950553 4.5735311508
-1.4079302549 3.0681867599 23.0553150177 31.0585670471 0.0000000000 0.0000000000 -0.2711725235 4.8393177986
-1.5489059687 3.3552796841 18.2935962677 30.4219131470 0.0000000000 0.0000000000 -0.2510747015 5.0581140518
-1.6820949316 3.6309876442 13.9568357468 30.0731563568 0.0000000000 0.0000000000 -0.2240551263 5.2324628830
-1.8067916632 3.8943350315 10.1895246506 29.9607830048 0.0000000000 0.0000000000 -0.1909916550 5.3646821976
-1.9226577282 4.1448755264 7.0828838348 29.9729404449 0.0000000000 0.0000000000 -0.1529482752 5.4572634697
-2.0297896862 4.3827972412 4.6266298294 30.0416297913 0.0000000000 0.0000000000 -0.1110867783 5.5131731033
-2.1283659935 4.6084737778 2.7581670284 30.1255950928 0.0000000000 0.0000000000 -0.0666795820 5.5356750488
-2.2187838554 4.8226780891 1.4048744440 30.1766700745 0.0000000000 0.0000000000 -0.0208882075 5.5284428596
-2.3016402721 5.0265231133 0.5014109612 30.1655616760 0.0000000000 0.0000000000 0.0252431575 5.4951930046
-2.3775851727 5.2211103439 -0.0116822962 30.0866355896 0.0000000000 0.0000000000 0.0707812384 5.4397110939
-2.4472789764 5.4075360298 -0.1852312982 29.9425468445 0.0000000000 0.0000000000 0.1150027215 5.3655905724
-2.5113205910 5.5868029594 -0.0615893751 29.7453498840 0.0000000000 0.0000000000 0.1572412401 5.2761621475
-2.5704309940 5.7601609230 0.3230860233 29.5117950439 0.0000000000 0.0000000000 0.1969168186 5.1746363640
-2.6252582073 5.9286451340 0.9367275238 29.2632560730 0.0000000000 0.0000000000 0.2335991561 5.0640182495
-2.6763858795 6.0931420326 1.7542053461 29.0239715576 0.0000000000 0.0000000000 0.2669107020 4.9470334053
-2.7245230675 6.2547588348 2.7518153191 28.8172130585 0.0000000000 0.0000000000 0.2965842783 4.8263139725
-2.7703411579 6.4145345688 3.9122452736 28.6656417847 0.0000000000 0.0000000000 0.3224883676 4.7041196823
-2.8144245148 6.5732522011 5.2166290283 28.5875415802 0.0000000000 0.0000000000 0.3445349038 4.5825443268
-2.8574297428 6.7317814827 6.6518597603 28.6011791229 0.0000000000 0.0000000000 0.3627076745 4.4633598328
-2.8999214172 6.8908143044 8.1940326691 28.7162475586 0.0000000000 0.0000000000 0.3770620525 4.3482308388
-2.9425771236 7.0512943268 9.8209095001 28.9377326965 0.0000000000 0.0000000000 0.3876712918 4.2385239601
-2.9860389233 7.2140750885 11.5126934052 29.2558364868 0.0000000000 0.0000000000 0.3946202695 4.1354613304
-3.0308427811 7.3798093796 13.2436771393 29.6587448120 0.0000000000 0.0000000000 0.3981344402 4.0402522087
-3.0775613785 7.5492181778 14.9812202454 30.1286067963 0.0000000000 0.0000000000 0.3984102607 3.9541766644
-3.1267552376 7.7229566574 16.6583003998 30.6212444305 0.0000000000 0.0000000000 0.3958044946 3.8784270287
