#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 89.5015106201 78.0862045288 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1470253319 0.4547623396 54.2588844299 50.8414535522 0.0000000000 0.0000000000 -0.0916426405 0.9806635976
-0.2969900370 0.8231309056 49.8947105408 43.0455055237 0.0000000000 0.0000000000 -0.1760692149 1.7532340288
-0.4504483640 1.1628348827 48.7571945190 40.4106445312 0.0000000000 0.0000000000 -0.2467511594 2.4064748287
-0.6064105034 1.4882795811 46.2036437988 38.2338714600 0.0000000000 0.0000000000 -0.3038312495 2.9677612782
-0.7631930709 1.8053994179 42.3918876648 36.2908630371 0.0000000000 0.0000000000 -0.3478574157 3.4562697411
-0.9190199971 2.1153194904 37.8435401917 34.5731163025 0.0000000000 0.0000000000 -0.3804513812 3.8825581074
-1.0719237328 2.4178996086 32.9664726257 33.1428833008 0.0000000000 0.0000000000 -0.4033100307 4.2526936531
-1.2200692892 2.7118847370 27.9709396362 31.9590167999 0.0000000000 0.0000000000 -0.4168804288 4.5705919266
-1.3620500565 2.9959077835 22.9836769104 31.0370788574 0.0000000000 0.0000000000 -0.4215699732 4.8388404846
-1.4966682196 3.2686145306 18.2069644928 30.3986949921 0.0000000000 0.0000000000 -0.4179588258 5.0598335266
-1.6228008270 3.5284509659 13.8578472137 30.0491294861 0.0000000000 0.0000000000 -0.4066140354 5.2356810570
-1.7396485806 3.7743203640 10.0839099884 29.9360637665 0.0000000000 0.0000000000 -0.3883754313 5.3685073853
-1.8467841148 4.0056428909 6.9728727341 29.9513854980 0.0000000000 0.0000000000 -0.3643974066 5.4606747627
-1.9443175793 4.2225389481 4.5137710571 30.0243320465 0.0000000000 0.0000000000 -0.3359897137 5.5151176453
-2.0323908329 4.4252200127 2.6451632977 30.1140365601 0.0000000000 0.0000000000 -0.3044121265 5.5351543427
-2.1115338802 4.6147832870 1.2876002789 30.1705150604 0.0000000000 0.0000000000 -0.2707641721 5.5244798660
-2.1824510098 4.7924528122 0.3788034916 30.1643962860 0.0000000000 0.0000000000 -0.2359499186 5.4868893623
-2.2458558083 4.9594912529 -0.1408272833 30.0906257629 0.0000000000 0.0000000000 -0.2007544935 5.4263663292
-2.3024134636 5.1170120239 -0.3215794265 29.9520015717 0.0000000000 0.0000000000 -0.1657838970 5.3465485573
-2.3527958393 5.2662515640 -0.2067190707 29.7603893280 0.0000000000 0.0000000000 -0.1316030025 5.2509150505
-2.3976972103 5.4084901810 0.1666728556 29.5322380066 0.0000000000 0.0000000000 -0.0987878740 5.1427521706
-2.4377443790 5.5448408127 0.7681772113 29.2876911163 0.0000000000 0.0000000000 -0.0678186491 5.0251603127
