#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 89.5015106201 78.0862045288 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.1520909965 0.4546721280 52.7371902466 49.4387969971 0.0000000000 0.0000000000 -0.0801790655 0.9827097654
-0.3065074086 0.8252083659 48.8785896301 41.4164886475 0.0000000000 0.0000000000 -0.1482850909 1.7497096062
-0.4644165933 1.1683530807 47.8276481628 38.6393470764 0.0000000000 0.0000000000 -0.1974787563 2.3886375427
-0.6246061325 1.4976003170 45.1874732971 36.5393142700 0.0000000000 0.0000000000 -0.2304174155 2.9282729626
-0.7850399613 1.8189281225 41.2106971741 34.6547241211 0.0000000000 0.0000000000 -0.2498606890 3.3883476257
-0.9440013170 2.1338148117 36.4417724609 32.9615402222 0.0000000000 0.0000000000 -0.2577958703 3.7815985680
-1.0997991562 2.4421415329 31.2727050781 31.5855655670 0.0000000000 0.0000000000 -0.2563930750 4.1162967682
-1.2508271933 2.7424726486 26.0385437012 30.5014266968 0.0000000000 0.0000000000 -0.2466706932 4.3980360031
-1.3956742287 3.0334587097 20.9390411377 29.6800498962 0.0000000000 0.0000000000 -0.2290446460 4.6306328773
-1.5331561565 3.3136465549 16.1915588379 29.1475906372 0.0000000000 0.0000000000 -0.2039886266 4.8170752525
-1.6623696089 3.5817763805 11.9640064240 28.8922538757 0.0000000000 0.0000000000 -0.1724172235 4.9601020813
-1.7827662230 3.8371737003 8.3616361618 28.8551445007 0.0000000000 0.0000000000 -0.1355416328 5.0625367165
-1.8941065073 4.0795044899 5.4303631783 28.9310894012 0.0000000000 0.0000000000 -0.0946408361 5.1274824142
-1.9965087175 4.3089885712 3.1407523155 29.0290527344 0.0000000000 0.0000000000 -0.0510479733 5.1583833694
-2.0902976990 4.5262227058 1.4181016684 29.1068267822 0.0000000000 0.0000000000 -0.0059486772 5.1589698792
-2.1758992672 4.7319712639 0.1926896274 29.1121902466 0.0000000000 0.0000000000 0.0395429283 5.1331090927
-2.2540261745 4.9275012016 -0.6041625142 29.0344390869 0.0000000000 0.0000000000 0.0844211504 5.0844883919
-2.3253607750 5.1140341759 -1.0323940516 28.8696956635 0.0000000000 0.0000000000 0.1278543770 5.0167999268
-2.3905777931 5.2927355766 -1.1469367743 28.6375236511 0.0000000000 0.0000000000 0.1691941023 4.9335751534
-2.4503026009 5.4647245407 -0.9851987958 28.3545818329 0.0000000000 0.0000000000 0.2079040855 4.8381128311
-2.5052664280 5.6313042641 -0.5816341639 28.0400791168 0.0000000000 0.0000000000 0.2436137199 4.7333340645
-2.5561101437 5.7934436798 0.0382246040 27.7095603943 0.0000000000 0.0000000000 0.2759227455 4.6220312119
-2.6034801006 5.9521541595 0.8496222496 27.3837623596 0.0000000000 0.0000000000 0.3045490980 4.5066094398
-2.6480090618 6.1083693504 1.8318972588 27.0818843842 0.0000000000 0.0000000000 0.3293093443 4.3892173767
-2.6903529167 6.2631530762 2.9716763496 26.8200168610 0.0000000000 0.0000000000 0.3500852287 4.2717165947
-2.7310037613 6.4171056747 4.2557172775 26.6113872528 0.0000000000 0.0000000000 0.3668631017 4.1557087898
-2.7705574036 6.5710411072 5.6722021103 26.4666633606 0.0000000000 0.0000000000 0.3797241449 4.0425009727
-2.8096373081 6.7257833481 7.2003860474 26.4037399292 0.0000000000 0.0000000000 0.3887890875 3.9333183765
-2.8488676548 6.8821420670 8.8169546127 26.4305419922 0.0000000000 0.0000000000 0.3942616582 3.8290615082
-2.8888964653 7.0408987999 10.4852094650 26.5474128723 0.0000000000 0.0000000000 0.3963732421 3.7302498817
-2.9303197861 7.2026381493 12.1701650620 26.7521362305 0.0000000000 0.0000000000 0.3953928351 3.6375131607
-2.9736824036 7.3678717613 13.8244209290 27.0247955322 0.0000000000 0.0000000000 0.3916241229 3.5514504910
-3.0194640160 7.5370464325 15.3729782104 27.3364639282 0.0000000000 0.0000000000 0.3853479028 3.4729785919
-3.0681762695 7.7104902267 16.7355537415 27.6383647919 0.0000000000 0.0000000000 0.3770333529 3.4028227329
-3.1201727390 7.8883295059 17.8337001801 27.8838233948 0.0000000000 0.0000000000 0.3670732379 3.3419332504
-3.1756074429 8.0704746246 18.6055316925 28.0214633942 0.0000000000 0.0000000000 0.3559679985 3.2911283970
-3.2344765663 8.2567739487 19.0268497467 28.0208835602 0.0000000000 0.0000000000 0.3441458344 3.2512087822
-3.2965393066 8.4467287064 19.1037158966 27.8643550873 0.0000000000 0.0000000000 0.3320145905 3.2227718830
-3.3615355492 8.6399192810 18.8859138489 27.5491275787 0.0000000000 0.0000000000 0.3201543987 3.2060332298
-3.4291889668 8.8360004425 18.4432468414 27.0991497040 0.0000000000 0.0000000000 0.3090597093 3.2004704475
-3.4988138676 9.0338287354 17.8543434143 26.5475463867 0.0000000000 0.0000000000 0.2991476357 3.2047474384
-3.5699346066 9.2325286865 17.1862564087 25.9268398285 0.0000000000 0.0000000000 0.2906833589 3.2168350220
-3.6420810223 9.4312000275 16.4783802032 25.2970218658 0.0000000000 0.0000000000 0.2838984132 3.2339842319
-3.7150087357 9.6293697357 15.7602214813 24.7169704437 0.0000000000 0.0000000000 0.2790060043 3.2535667419
-3.7882575989 9.8261489868 15.0439929962 24.2414608002 0.0000000000 0.0000000000 0.2760946453 3.2731380463
-3.8617575169 10.0215072632 14.3384580612 23.8963851929 0.0000000000 0.0000000000 0.2751492858 3.2907688618
-3.9351024628 10.2147760391 13.6775760651 23.6767635345 0.0000000000 0.0000000000 0.2760660946 3.3049635887
-4.0080566406 10.4057502747 13.0932435989 23.5592117310 0.0000000000 0.0000000000 0.2786544859 3.3149096966
-4.0803747177 10.5944852829 12.6138954163 23.5230045319 0.0000000000 0.0000000000 0.2826705277 3.3202183247
-4.1519179344 10.7811641693 12.2662315369 23.5460643768 0.0000000000 0.0000000000 0.2877664864 3.3209602833
-4.2225966454 10.9659509659 12.0636224747 23.5998134613 0.0000000000 0.0000000000 0.2936871350 3.3175158501
-4.2924799919 11.1491613388 12.0104589462 23.6634254456 0.0000000000 0.0000000000 0.3001017570 3.3104205132
-4.3615317345 11.3307924271 12.0980911255 23.7164382935 0.0000000000 0.0000000000 0.3066773117 3.3002896309
-4.4300122261 11.5115442276 12.3086233139 23.7451057434 0.0000000000 0.0000000000 0.3131096959 3.2878155708
-4.4980564117 11.6916103363 12.6222305298 23.7375183105 0.0000000000 0.0000000000 0.3191307485 3.2738323212
-4.5657911301 11.8709850311 13.0047035217 23.6836547852 0.0000000000 0.0000000000 0.3245048821 3.2591419220
-4.6335573196 12.0502758026 13.4207782745 23.5872306824 0.0000000000 0.0000000000 0.3291169405 3.2444837093
-4.7015557289 12.2294912338 13.8317899704 23.4541988373 0.0000000000 0.0000000000 0.3328935504 3.2304790020
-4.7700901031 12.4091501236 14.2019100189 23.2960872650 0.0000000000 0.0000000000 0.3357733190 3.2174744606
-4.8392820358 12.5890884399 14.4933557510 23.1250495911 0.0000000000 0.0000000000 0.3377262354 3.2057235241
-4.9093317986 12.7694501877 14.6834182739 22.9581565857 0.0000000000 0.0000000000 0.3387433887 3.1954305172
-4.9803247452 12.9502658844 14.7499513626 22.8110046387 0.0000000000 0.0000000000 0.3387915492 3.1865081787
-5.0522274971 13.1314783096 14.6866455078 22.6884860992 0.0000000000 0.0000000000 0.3379602730 3.1787459850
-5.1248965263 13.3128108978 14.4945316315 22.5940895081 0.0000000000 0.0000000000 0.3364186883 3.1718573570
-5.1981739998 13.4941425323 14.1934814453 22.5273189545 0.0000000000 0.0000000000 0.3343130052 3.1654546261
-5.2718610764 13.6753826141 13.8110275269 22.4853343964 0.0000000000 0.0000000000 0.3317573965 3.1590950489
-5.3457121849 13.8563432693 13.3764305115 22.4634456635 0.0000000000 0.0000000000 0.3289173245 3.1523468494
-5.4194808006 14.0368871689 12.9203472137 22.4477272034 0.0000000000 0.0000000000 0.3259221017 3.1446921825
-5.4929652214 14.2168092728 12.4740896225 22.4254779816 0.0000000000 0.0000000000 0.3228950500 3.1358165741
-5.5658802986 14.3956003189 12.0565328598 22.3850917816 0.0000000000 0.0000000000 0.3199036121 3.1253409386
-5.6380739212 14.5730104446 11.6869277954 22.3210563660 0.0000000000 0.0000000000 0.3169873655 3.1130640507
-5.7095541954 14.7491645813 11.3727178574 22.2301883698 0.0000000000 0.0000000000 0.3141699433 3.0988194942
-5.7803387642 14.9241857529 11.1163187027 22.1136493683 0.0000000000 0.0000000000 0.3114475608 3.0825600624
-5.8503565788 15.0978326797 10.9169874191 21.9800529480 0.0000000000 0.0000000000 0.3087742627 3.0642867088
-5.9197397232 15.2702798843 10.7651824951 21.8387832642 0.0000000000 0.0000000000 0.3061633408 3.0440869331
-5.9884567261 15.4412975311 10.6542549133 21.7003974915 0.0000000000 0.0000000000 0.3036012948 3.0220296383
