#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0699074343 13.6461534500 -25.5456962585 35.3375434875 0.0000000000 0.0000000000 -0.0206876080 0.7423610091
-0.4939896166 16.0483093262 -29.2516975403 34.7144699097 0.0000000000 0.0000000000 -0.0379840396 1.1873602867
-0.9303663969 17.8428764343 -31.2580566406 34.7567138672 0.0000000000 0.0000000000 -0.0521430895 1.5886218548
-1.2311474085 19.6786823273 -31.8269481659 34.9740982056 0.0000000000 0.0000000000 -0.0637187362 1.9592659473
-1.4186755419 21.2303409576 -32.1565742493 35.1100730896 0.0000000000 0.0000000000 -0.0737478286 2.3079788685
-1.5051627159 22.5590438843 -32.3213806152 35.1386795044 0.0000000000 0.0000000000 -0.0824362412 2.6408739090
-1.5071097612 23.7531566620 -32.2710304260 35.0969886780 0.0000000000 0.0000000000 -0.0891721323 2.9589378834
-1.4409152269 24.7934131622 -32.1461677551 35.0170822144 0.0000000000 0.0000000000 -0.0937939957 3.2634639740
-1.3207777739 25.6158790588 -32.0414390564 34.9665260315 0.0000000000 0.0000000000 -0.0968053192 3.5570607185
-1.1558244228 26.1982803345 -31.9923496246 34.9296607971 0.0000000000 0.0000000000 -0.0982274190 3.8412272930
-0.9534400105 26.5706977844 -31.9389247894 34.9066162109 0.0000000000 0.0000000000 -0.0985115767 4.1166000366
-0.7184634209 26.7893867493 -31.8683490753 34.9157371521 0.0000000000 0.0000000000 -0.0980598554 4.3827953339
-0.4569253623 26.9006729126 -31.7694587708 34.9571685791 0.0000000000 0.0000000000 -0.0968798324 4.6407337189
-0.1766316742 26.9274501801 -31.6601467133 35.0246009827 0.0000000000 0.0000000000 -0.0948813632 4.8913893700
0.1118625253 26.8798599243 -31.5514926910 35.0567054749 0.0000000000 0.0000000000 -0.0923883766 5.1359968185
0.3986872137 26.7664031982 -31.4464626312 35.0638961792 0.0000000000 0.0000000000 -0.0896872655 5.3750152588
0.6757471561 26.5924606323 -31.3499450684 35.0439910889 0.0000000000 0.0000000000 -0.0867230594 5.6089348793
0.9373073578 26.3611583710 -31.2688789368 35.0170516968 0.0000000000 0.0000000000 -0.0833141133 5.8380150795
1.1804443598 26.0762996674 -31.1836071014 34.9897003174 0.0000000000 0.0000000000 -0.0794510096 6.0620183945
1.4024331570 25.7433261871 -31.0855712891 34.9659500122 0.0000000000 0.0000000000 -0.0753152221 6.2810077667
