#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0311578680 1.3644844294 -25.5456962585 35.3375434875 0.0000000000 0.0000000000 -0.0020687599 0.0744168237
-0.0525474548 2.4979789257 -25.7900047302 34.9678764343 0.0000000000 0.0000000000 -0.0040895976 0.1374824941
-0.0686788484 3.5566232204 -26.1306781769 34.6574554443 0.0000000000 0.0000000000 -0.0061046327 0.1972541213
-0.0804119483 4.5481014252 -26.4440155029 34.4163131714 0.0000000000 0.0000000000 -0.0079627447 0.2543320358
-0.0881631374 5.4794883728 -26.7517642975 34.2388420105 0.0000000000 0.0000000000 -0.0097760791 0.3093755245
-0.0918939635 6.3595056534 -27.0516700745 34.1050262451 0.0000000000 0.0000000000 -0.0115604401 0.3626956642
-0.0917833149 7.1954278946 -27.3343009949 34.0075798035 0.0000000000 0.0000000000 -0.0133239143 0.4145082831
-0.0878063217 7.9924898148 -27.5954856873 33.9352340698 0.0000000000 0.0000000000 -0.0150409676 0.4650017619
-0.0800221562 8.7552022934 -27.8369445801 33.8874397278 0.0000000000 0.0000000000 -0.0167352520 0.5142744780
-0.0685192645 9.4873285294 -28.0625648499 33.8633880615 0.0000000000 0.0000000000 -0.0183980688 0.5624726415
-0.0532309748 10.1923961639 -28.2742710114 33.8590431213 0.0000000000 0.0000000000 -0.0200479869 0.6096694469
-0.0341902450 10.8729867935 -28.4726371765 33.8735618591 0.0000000000 0.0000000000 -0.0216716006 0.6559575796
-0.0113458158 11.5314130783 -28.6535472870 33.9003677368 0.0000000000 0.0000000000 -0.0232665371 0.7013971806
0.0153315160 12.1695766449 -28.8153438568 33.9332923889 0.0000000000 0.0000000000 -0.0248234030 0.7460228205
0.0460435972 12.7890396118 -28.9582386017 33.9704895020 0.0000000000 0.0000000000 -0.0263377465 0.7899156809
0.0808400065 13.3909559250 -29.0816440582 34.0119819641 0.0000000000 0.0000000000 -0.0278050173 0.8331242800
0.1196436286 13.9762439728 -29.1846981049 34.0540428162 0.0000000000 0.0000000000 -0.0292410478 0.8757131696
0.1622974426 14.5460700989 -29.2662048340 34.0954322815 0.0000000000 0.0000000000 -0.0306424517 0.9176769257
0.2087592781 15.1013984680 -29.3281154633 34.1373329163 0.0000000000 0.0000000000 -0.0320065953 0.9590154290
0.2588231564 15.6435556412 -29.3757343292 34.1800498962 0.0000000000 0.0000000000 -0.0333310775 0.9997682571
0.3122591078 16.1732311249 -29.4098663330 34.2245063782 0.0000000000 0.0000000000 -0.0346238427 1.0399636030
0.3690351844 16.6913814545 -29.4334602356 34.2708473206 0.0000000000 0.0000000000 -0.0358892381 1.0796157122
0.4288672507 17.1986846924 -29.4483280182 34.3188552856 0.0000000000 0.0000000000 -0.0371116698 1.1187431812
0.4917579889 17.6959934235 -29.4573955536 34.3669357300 0.0000000000 0.0000000000 -0.0382934064 1.1573944092
0.5576915145 18.1840858459 -29.4595909119 34.4132919312 0.0000000000 0.0000000000 -0.0394391194 1.1956056356
0.6265056133 18.6637210846 -29.4542617798 34.4567108154 0.0000000000 0.0000000000 -0.0405593179 1.2334200144
0.6980904341 19.1356697083 -29.4416751862 34.4958457947 0.0000000000 0.0000000000 -0.0416610800 1.2708495855
0.7722572684 19.6007575989 -29.4222755432 34.5313453674 0.0000000000 0.0000000000 -0.0427368544 1.3079198599
0.8488396406 20.0596351624 -29.3978919983 34.5644760132 0.0000000000 0.0000000000 -0.0437957458 1.3446387053
0.9277866483 20.5125656128 -29.3675556183 34.5936012268 0.0000000000 0.0000000000 -0.0448369458 1.3810131550
1.0088725090 20.9598789215 -29.3347091675 34.6215476990 0.0000000000 0.0000000000 -0.0458735377 1.4170745611
1.0919159651 21.4020290375 -29.3019409180 34.6483383179 0.0000000000 0.0000000000 -0.0469062552 1.4528706074
1.1768704653 21.8396224976 -29.2720355988 34.6756782532 0.0000000000 0.0000000000 -0.0479328856 1.4884209633
1.2636774778 22.2727718353 -29.2431049347 34.7016906738 0.0000000000 0.0000000000 -0.0489487015 1.5237758160
1.3524219990 22.7015171051 -29.2148914337 34.7271423340 0.0000000000 0.0000000000 -0.0499566458 1.5589638948
1.4431384802 23.1260986328 -29.1822185516 34.7513389587 0.0000000000 0.0000000000 -0.0509541370 1.5939941406
1.5357593298 23.5467491150 -29.1471900940 34.7734756470 0.0000000000 0.0000000000 -0.0519463867 1.6288988590
1.6301062107 23.9636058807 -29.1088066101 34.7949867249 0.0000000000 0.0000000000 -0.0529336892 1.6637086868
1.7261283398 24.3767681122 -29.0684108734 34.8166198730 0.0000000000 0.0000000000 -0.0539215729 1.6984192133
1.8237364292 24.7866020203 -29.0262069702 34.8353843689 0.0000000000 0.0000000000 -0.0549127460 1.7330377102
1.9228649139 25.1933650970 -28.9820690155 34.8533592224 0.0000000000 0.0000000000 -0.0559200570 1.7675545216
2.0233643055 25.5970821381 -28.9370594025 34.8698577881 0.0000000000 0.0000000000 -0.0569367670 1.8019863367
2.1252272129 25.9978008270 -28.8922805786 34.8859939575 0.0000000000 0.0000000000 -0.0579615496 1.8363385201
2.2285957336 26.3955440521 -28.8488216400 34.9020690918 0.0000000000 0.0000000000 -0.0589982420 1.8706213236
2.3333554268 26.7904338837 -28.8049087524 34.9176559448 0.0000000000 0.0000000000 -0.0600418858 1.9048361778
2.4394576550 27.1825466156 -28.7603244781 34.9314270020 0.0000000000 0.0000000000 -0.0610973984 1.9389768839
2.5469219685 27.5720596313 -28.7143001556 34.9430694580 0.0000000000 0.0000000000 -0.0621685572 1.9730480909
2.6555695534 27.9592590332 -28.6691646576 34.9533386230 0.0000000000 0.0000000000 -0.0632460564 2.0070416927
2.7654247284 28.3441886902 -28.6227111816 34.9618377686 0.0000000000 0.0000000000 -0.0643290281 2.0409812927
2.8763279915 28.7272014618 -28.5723133087 34.9685745239 0.0000000000 0.0000000000 -0.0654186681 2.0748679638
2.9883122444 29.1085014343 -28.5180072784 34.9750709534 0.0000000000 0.0000000000 -0.0665178820 2.1087009907
3.1012828350 29.4879703522 -28.4642086029 34.9829978943 0.0000000000 0.0000000000 -0.0676175952 2.1424911022
3.2151901722 29.8655948639 -28.4095706940 34.9904708862 0.0000000000 0.0000000000 -0.0687230304 2.1762461662
3.3300046921 30.2412834167 -28.3560276031 34.9978713989 0.0000000000 0.0000000000 -0.0698311180 2.2099699974
3.4456191063 30.6150856018 -28.3063163757 35.0036849976 0.0000000000 0.0000000000 -0.0709396973 2.2436423302
3.5620284081 30.9871101379 -28.2598648071 35.0091896057 0.0000000000 0.0000000000 -0.0720484331 2.2772510052
3.6791105270 31.3570861816 -28.2153148651 35.0127754211 0.0000000000 0.0000000000 -0.0731564015 2.3107798100
3.7969129086 31.7251300812 -28.1715412140 35.0136146545 0.0000000000 0.0000000000 -0.0742661953 2.3442428112
3.9154233932 32.0911674500 -28.1290512085 35.0133552551 0.0000000000 0.0000000000 -0.0753842294 2.3776416779
4.0347447395 32.4551315308 -28.0861835480 35.0125083923 0.0000000000 0.0000000000 -0.0765032694 2.4109768867
4.1550426483 32.8168792725 -28.0418987274 35.0106544495 0.0000000000 0.0000000000 -0.0776250958 2.4442460537
4.2762036324 33.1763305664 -27.9964542389 35.0079536438 0.0000000000 0.0000000000 -0.0787537545 2.4774787426
4.3981080055 33.5336227417 -27.9499034882 35.0059204102 0.0000000000 0.0000000000 -0.0798847899 2.5106711388
4.5207037926 33.8889999390 -27.9032497406 35.0042800903 0.0000000000 0.0000000000 -0.0810102075 2.5438449383
4.6439533234 34.2426414490 -27.8574733734 35.0047149658 0.0000000000 0.0000000000 -0.0821272880 2.5770027637
4.7677030563 34.5944519043 -27.8126335144 35.0050048828 0.0000000000 0.0000000000 -0.0832336769 2.6101269722
4.8917942047 34.9445381165 -27.7678985596 35.0035400391 0.0000000000 0.0000000000 -0.0843222290 2.6432168484
5.0162663460 35.2928848267 -27.7234363556 35.0011482239 0.0000000000 0.0000000000 -0.0853931904 2.6762771606
5.1412339211 35.6397056580 -27.6794414520 34.9980049133 0.0000000000 0.0000000000 -0.0864499435 2.7093019485
5.2667875290 35.9852905273 -27.6366977692 34.9924812317 0.0000000000 0.0000000000 -0.0874911323 2.7422850132
5.3929443359 36.3295249939 -27.5937633514 34.9857902527 0.0000000000 0.0000000000 -0.0885170698 2.7752408981
5.5196719170 36.6725273132 -27.5509681702 34.9785194397 0.0000000000 0.0000000000 -0.0895372629 2.8081879616
5.6469192505 37.0144271851 -27.5100288391 34.9705085754 0.0000000000 0.0000000000 -0.0905505866 2.8411400318
5.7747673988 37.3552551270 -27.4686336517 34.9618110657 0.0000000000 0.0000000000 -0.0915600881 2.8740971088
