#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0699074566 13.6461534500 -25.5456962585 35.3375434875 0.0000000000 0.0000000000 -0.0206875373 0.7423610091
-0.4412278831 16.8048057556 -29.2516975403 34.7144699097 0.0000000000 0.0000000000 -0.0382092036 1.1941121817
-0.8359363675 19.3903675079 -31.4446182251 34.8036956787 0.0000000000 0.0000000000 -0.0525013804 1.6069080830
-1.1273219585 21.9396457672 -32.1636314392 35.0615234375 0.0000000000 0.0000000000 -0.0650865808 1.9918115139
-1.3079220057 24.2799243927 -32.5872993469 35.2264328003 0.0000000000 0.0000000000 -0.0765436962 2.3560333252
-1.3883032799 26.4629898071 -32.8250389099 35.2449111938 0.0000000000 0.0000000000 -0.0867686495 2.7039799690
-1.3778750896 28.5410289764 -32.8358421326 35.2525138855 0.0000000000 0.0000000000 -0.0958328471 3.0384309292
-1.2850028276 30.5103454590 -32.7241821289 35.2482910156 0.0000000000 0.0000000000 -0.1035162285 3.3606181145
-1.1186974049 32.3365783691 -32.5924949646 35.2399597168 0.0000000000 0.0000000000 -0.1097273976 3.6725442410
-0.8851907253 34.0014801025 -32.4907951355 35.1980895996 0.0000000000 0.0000000000 -0.1146163791 3.9750816822
-0.5857346058 35.5216674805 -32.3567962646 35.1492195129 0.0000000000 0.0000000000 -0.1183517203 4.2687234879
-0.2214916348 36.9230384827 -32.2159500122 35.1475868225 0.0000000000 0.0000000000 -0.1211326495 4.5543332100
0.2041161656 38.2410659790 -32.0503349304 35.1911048889 0.0000000000 0.0000000000 -0.1235307232 4.8329782486
0.6856257319 39.4914474487 -31.8358173370 35.2795677185 0.0000000000 0.0000000000 -0.1255310327 5.1050744057
1.2191864252 40.6809616089 -31.5768718719 35.3542747498 0.0000000000 0.0000000000 -0.1274653077 5.3713645935
1.7973660231 41.8122673035 -31.3120651245 35.3856124878 0.0000000000 0.0000000000 -0.1289649755 5.6327471733
2.4131934643 42.8817672729 -31.0711002350 35.3620223999 0.0000000000 0.0000000000 -0.1299839467 5.8893537521
3.0616495609 43.8846549988 -30.8385009766 35.3156661987 0.0000000000 0.0000000000 -0.1305466592 6.1414985657
3.7385711670 44.8210029602 -30.5979804993 35.2530860901 0.0000000000 0.0000000000 -0.1308103502 6.3897199631
4.4403901100 45.6966667175 -30.3327789307 35.2054214478 0.0000000000 0.0000000000 -0.1311108917 6.6346702576
5.1620783806 46.5185470581 -30.0513954163 35.1718864441 0.0000000000 0.0000000000 -0.1315473318 6.8766350746
5.9001650810 47.2939529419 -29.7471485138 35.1123809814 0.0000000000 0.0000000000 -0.1321761459 7.1157374382
6.6528539658 48.0284423828 -29.4811115265 35.0315055847 0.0000000000 0.0000000000 -0.1329778135 7.3516063690
7.4182620049 48.7303466797 -29.2290248871 34.9113922119 0.0000000000 0.0000000000 -0.1340142637 7.5841870308
8.1935415268 49.4075164795 -28.9680824280 34.7583045959 0.0000000000 0.0000000000 -0.1353806108 7.8138360977
8.9773015976 50.0641136169 -28.6876125336 34.5869216919 0.0000000000 0.0000000000 -0.1370047331 8.0405607224
9.7666082382 50.7029724121 -28.3858718872 34.4152870178 0.0000000000 0.0000000000 -0.1387394369 8.2639770508
