#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0699074566 13.6461534500 -25.5456962585 35.3375434875 0.0000000000 0.0000000000 -0.0206876080 0.7423610091
-0.4412280023 16.8048019409 -29.2516975403 34.7144699097 0.0000000000 0.0000000000 -0.0379840247 1.1873602867
-0.8356557488 19.3885459900 -31.4219532013 34.7867546082 0.0000000000 0.0000000000 -0.0518094078 1.5889085531
-1.1270005703 21.9339523315 -32.1293525696 35.0501251221 0.0000000000 0.0000000000 -0.0635628253 1.9590348005
-1.3096610308 24.2671108246 -32.5050621033 35.2135925293 0.0000000000 0.0000000000 -0.0740036517 2.3051629066
-1.3930958509 26.4459457397 -32.6767539978 35.2633247375 0.0000000000 0.0000000000 -0.0823348612 2.6328885555
-1.3852969408 28.5191822052 -32.6550750732 35.3092994690 0.0000000000 0.0000000000 -0.0894041210 2.9445142746
-1.2951738834 30.4849109650 -32.5218544006 35.3072547913 0.0000000000 0.0000000000 -0.0944884196 3.2418613434
-1.1321501732 32.3068618774 -32.3816757202 35.2766227722 0.0000000000 0.0000000000 -0.0977009684 3.5269331932
-0.9012854695 33.9645423889 -32.3125228882 35.2008705139 0.0000000000 0.0000000000 -0.0995987505 3.8009748459
-0.6040694714 35.4757385254 -32.2130584717 35.1367874146 0.0000000000 0.0000000000 -0.1004652232 4.0649323463
-0.2415622175 36.8717842102 -32.0103454590 35.1386795044 0.0000000000 0.0000000000 -0.1006943956 4.3195533752
0.1822447777 38.1840820312 -31.7377490997 35.2165184021 0.0000000000 0.0000000000 -0.1003311947 4.5657181740
0.6607850790 39.4287643433 -31.4417648315 35.3291587830 0.0000000000 0.0000000000 -0.0997645557 4.8048133850
1.1876888275 40.6121826172 -31.1653213501 35.3967132568 0.0000000000 0.0000000000 -0.0990229547 5.0378780365
1.7569526434 41.7365417480 -30.9107894897 35.4006423950 0.0000000000 0.0000000000 -0.0982411355 5.2657094002
2.3622460365 42.7975692749 -30.6672763824 35.3637351990 0.0000000000 0.0000000000 -0.0972720161 5.4889307022
3.0000174046 43.7927055359 -30.3883190155 35.3298492432 0.0000000000 0.0000000000 -0.0963540748 5.7079286575
3.6654605865 44.7225341797 -30.0901546478 35.3072242737 0.0000000000 0.0000000000 -0.0954191685 5.9233217239
4.3550534248 45.5910224915 -29.7553310394 35.2676696777 0.0000000000 0.0000000000 -0.0945868269 6.1354918480
5.0633478165 46.4067306519 -29.4679241180 35.2136611938 0.0000000000 0.0000000000 -0.0939656496 6.3448982239
5.7867903709 47.1773719788 -29.2026023865 35.1387825012 0.0000000000 0.0000000000 -0.0935029536 6.5517535210
6.5247101784 47.9051284790 -28.9384098053 35.0458488464 0.0000000000 0.0000000000 -0.0932899117 6.7557215691
7.2746143341 48.6011314392 -28.6641769409 34.9287567139 0.0000000000 0.0000000000 -0.0934211761 6.9565525055
8.0337524414 49.2699394226 -28.3692817688 34.7874031067 0.0000000000 0.0000000000 -0.0939397216 7.1541543007
8.7998456955 49.9168663025 -28.0534572601 34.6245613098 0.0000000000 0.0000000000 -0.0947679877 7.3486351967
9.5697584152 50.5455741882 -27.7268543243 34.4545440674 0.0000000000 0.0000000000 -0.0959128365 7.5397014618
10.3402605057 51.1593933105 -27.3978767395 34.2586555481 0.0000000000 0.0000000000 -0.0972139314 7.7271852493
11.1096210480 51.7590789795 -27.0862255096 34.0264511108 0.0000000000 0.0000000000 -0.0987160727 7.9111399651
11.8763370514 52.3460502625 -26.7918910980 33.7786598206 0.0000000000 0.0000000000 -0.1003664955 8.0915918350
12.6376342773 52.9217262268 -26.4983634949 33.5354843140 0.0000000000 0.0000000000 -0.1021575257 8.2684307098
13.3919153214 53.4905319214 -26.1725807190 33.2810401917 0.0000000000 0.0000000000 -0.1039569527 8.4416294098
14.1374816895 54.0557975769 -25.8380699158 33.0222892761 0.0000000000 0.0000000000 -0.1058233306 8.6113948822
14.8723716736 54.6184349060 -25.4969463348 32.7229423523 0.0000000000 0.0000000000 -0.1076758355 8.7777214050
15.5963354111 55.1815757751 -25.1724777222 32.4310760498 0.0000000000 0.0000000000 -0.1094201729 8.9403314590
16.3078899384 55.7455444336 -24.8577022552 32.1241798401 0.0000000000 0.0000000000 -0.1110483482 9.0991668701
17.0048599243 56.3091201782 -24.5587730408 31.8096427917 0.0000000000 0.0000000000 -0.1125246882 9.2539958954
17.6860713959 56.8694267273 -24.2842140198 31.5010452271 0.0000000000 0.0000000000 -0.1139081568 9.4044313431
18.3523330688 57.4269371033 -23.9928703308 31.2050857544 0.0000000000 0.0000000000 -0.1151821762 9.5508146286
19.0038223267 57.9807472229 -23.6953411102 30.9206218719 0.0000000000 0.0000000000 -0.1163788959 9.6927185059
19.6399269104 58.5308647156 -23.3848648071 30.6364498138 0.0000000000 0.0000000000 -0.1174957678 9.8301887512
20.2604312897 59.0788574219 -23.0787906647 30.3401737213 0.0000000000 0.0000000000 -0.1184979752 9.9634761810
20.8656997681 59.6247978210 -22.7995834351 30.0447216034 0.0000000000 0.0000000000 -0.1194317490 10.0923748016
21.4550704956 60.1682357788 -22.5246829987 29.7562503815 0.0000000000 0.0000000000 -0.1202300116 10.2172384262
22.0270214081 60.7089958191 -22.2326030731 29.4568843842 0.0000000000 0.0000000000 -0.1209838092 10.3379945755
22.5801410675 61.2449035645 -21.9498119354 29.1693096161 0.0000000000 0.0000000000 -0.1217764020 10.4551191330
23.1140937805 61.7748641968 -21.6506710052 28.8769302368 0.0000000000 0.0000000000 -0.1226016283 10.5688352585
23.6282405853 62.2970504761 -21.3513984680 28.5883235931 0.0000000000 0.0000000000 -0.1235390157 10.6790523529
24.1217823029 62.8101615906 -21.0633087158 28.2976303101 0.0000000000 0.0000000000 -0.1245582104 10.7861671448
24.5948619843 63.3120689392 -20.8120765686 28.0204811096 0.0000000000 0.0000000000 -0.1256256253 10.8903741837
25.0474147797 63.8014335632 -20.5839881897 27.7515716553 0.0000000000 0.0000000000 -0.1267546415 10.9916324615
25.4800548553 64.2789001465 -20.3573074341 27.5082054138 0.0000000000 0.0000000000 -0.1278607398 11.0898828506
25.8927536011 64.7455368042 -20.1268291473 27.2893066406 0.0000000000 0.0000000000 -0.1289306879 11.1853332520
26.2856483459 65.1991271973 -19.8741931915 27.0588092804 0.0000000000 0.0000000000 -0.1300591528 11.2783842087
