#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.4312406778 13.6402902603 -19.2849788666 36.2302474976 0.0000000000 0.0000000000 -0.0254145227 0.7433515191
-1.0294009447 17.1322631836 -24.7260532379 34.0414314270 0.0000000000 0.0000000000 -0.0462970138 1.2023153305
-1.5963865519 19.9787960052 -28.0751628876 33.8790512085 0.0000000000 0.0000000000 -0.0648674816 1.6147218943
-2.0350551605 22.7232284546 -29.4636383057 34.4144096375 0.0000000000 0.0000000000 -0.0809966251 1.9965595007
-2.3545222282 25.2023124695 -30.3238239288 34.8622970581 0.0000000000 0.0000000000 -0.0948770344 2.3552350998
-2.5617952347 27.4805908203 -30.8645439148 35.0318298340 0.0000000000 0.0000000000 -0.1062749699 2.6943871975
-2.6688566208 29.6287593842 -31.0707283020 35.0734291077 0.0000000000 0.0000000000 -0.1151877791 3.0152831078
-2.6855027676 31.6512145996 -31.1129894257 35.0702590942 0.0000000000 0.0000000000 -0.1221292093 3.3203246593
-2.6164119244 33.5250396729 -31.0263061523 35.0561981201 0.0000000000 0.0000000000 -0.1277707517 3.6113333702
-2.4658875465 35.2330627441 -30.9157142639 35.0573692322 0.0000000000 0.0000000000 -0.1321138144 3.8905148506
-2.2373094559 36.7893104553 -30.8269042969 35.0786209106 0.0000000000 0.0000000000 -0.1351559311 4.1591663361
-1.9355187416 38.2283363342 -30.7387447357 35.1350975037 0.0000000000 0.0000000000 -0.1370537132 4.4186196327
-1.5638619661 39.5828781128 -30.6315765381 35.1948966980 0.0000000000 0.0000000000 -0.1377044320 4.6700525284
-1.1267011166 40.8696746826 -30.4595031738 35.2558212280 0.0000000000 0.0000000000 -0.1373370588 4.9140548706
-0.6301201582 42.1018295288 -30.2457351685 35.3218345642 0.0000000000 0.0000000000 -0.1362596750 5.1512851715
-0.0814573467 43.2795867920 -29.9862880707 35.3824081421 0.0000000000 0.0000000000 -0.1344712675 5.3823986053
0.5133096576 44.3970413208 -29.7279529572 35.4374313354 0.0000000000 0.0000000000 -0.1322350353 5.6081476212
1.1501821280 45.4519882202 -29.4732379913 35.4635047913 0.0000000000 0.0000000000 -0.1298089623 5.8295574188
1.8236712217 46.4450950623 -29.2085418701 35.4774322510 0.0000000000 0.0000000000 -0.1272876114 6.0472421646
2.5284354687 47.3850784302 -28.9121952057 35.4767150879 0.0000000000 0.0000000000 -0.1246437207 6.2614846230
3.2613942623 48.2756080627 -28.5897560120 35.4493064880 0.0000000000 0.0000000000 -0.1219689623 6.4723505974
4.0192747116 49.1210746765 -28.2499465942 35.4094619751 0.0000000000 0.0000000000 -0.1194446906 6.6801390648
4.7986278534 49.9346084595 -27.8990516663 35.3471031189 0.0000000000 0.0000000000 -0.1170895472 6.8854575157
5.5961995125 50.7227325439 -27.5681610107 35.2614631653 0.0000000000 0.0000000000 -0.1148904338 7.0887517929
6.4094414711 51.4934272766 -27.2545661926 35.1193771362 0.0000000000 0.0000000000 -0.1130401269 7.2901878357
7.2366809845 52.2508850098 -26.9878959656 34.9610366821 0.0000000000 0.0000000000 -0.1115694866 7.4892992973
8.0768375397 53.0018234253 -26.7174434662 34.7977027893 0.0000000000 0.0000000000 -0.1104951426 7.6856932640
8.9275293350 53.7477340698 -26.4444770813 34.6334495544 0.0000000000 0.0000000000 -0.1097428948 7.8789682388
9.7858552933 54.4918899536 -26.1450195312 34.4439277649 0.0000000000 0.0000000000 -0.1092734188 8.0692281723
10.6497173309 55.2354965210 -25.8455562592 34.2197761536 0.0000000000 0.0000000000 -0.1089701429 8.2563838959
11.5169162750 55.9803314209 -25.5415592194 33.9685096741 0.0000000000 0.0000000000 -0.1088291630 8.4403152466
12.3859157562 56.7285957336 -25.2236557007 33.7043800354 0.0000000000 0.0000000000 -0.1089006290 8.6208992004
13.2557363510 57.4827270508 -24.8950920105 33.4199295044 0.0000000000 0.0000000000 -0.1092131808 8.7980155945
14.1255216599 58.2437400818 -24.5652351379 33.1333618164 0.0000000000 0.0000000000 -0.1096372977 8.9716558456
14.9941291809 59.0130500793 -24.2500572205 32.8488960266 0.0000000000 0.0000000000 -0.1100279167 9.1415987015
15.8602132797 59.7922058105 -23.9449539185 32.5521163940 0.0000000000 0.0000000000 -0.1103764921 9.3077058792
16.7237453461 60.5831718445 -23.6527004242 32.2331581116 0.0000000000 0.0000000000 -0.1106792539 9.4696903229
17.5834541321 61.3860931396 -23.3611507416 31.8910694122 0.0000000000 0.0000000000 -0.1110182777 9.6274518967
18.4381504059 62.1999397278 -23.0521697998 31.5443706512 0.0000000000 0.0000000000 -0.1114389375 9.7809391022
19.2872161865 63.0242805481 -22.7437248230 31.2162837982 0.0000000000 0.0000000000 -0.1118936315 9.9303064346
20.1286907196 63.8571166992 -22.4308223724 30.9005775452 0.0000000000 0.0000000000 -0.1122948900 10.0757169724
20.9620285034 64.6971511841 -22.1108818054 30.5682487488 0.0000000000 0.0000000000 -0.1127192229 10.2168626785
21.7865314484 65.5426177979 -21.7955951691 30.2435836792 0.0000000000 0.0000000000 -0.1130623817 10.3539428711
22.6013488770 66.3918991089 -21.4810676575 29.9287490845 0.0000000000 0.0000000000 -0.1133266315 10.4870090485
23.4059886932 67.2433395386 -21.1734638214 29.6325969696 0.0000000000 0.0000000000 -0.1135863662 10.6166772842
24.2001762390 68.0964660645 -20.8775806427 29.3468532562 0.0000000000 0.0000000000 -0.1138242409 10.7429246902
24.9831371307 68.9519348145 -20.6162719727 29.0654506683 0.0000000000 0.0000000000 -0.1140384451 10.8656492233
25.7534961700 69.8063049316 -20.3514537811 28.7829723358 0.0000000000 0.0000000000 -0.1142984480 10.9852247238
26.5103034973 70.6579208374 -20.0960693359 28.5244846344 0.0000000000 0.0000000000 -0.1145087481 11.1014785767
27.2534904480 71.5056533813 -19.8227024078 28.2751770020 0.0000000000 0.0000000000 -0.1146779880 11.2144155502
27.9825744629 72.3485107422 -19.5570049286 28.0314331055 0.0000000000 0.0000000000 -0.1148412526 11.3241024017
28.6966705322 73.1849975586 -19.3007450104 27.8004703522 0.0000000000 0.0000000000 -0.1149675623 11.4306001663
29.3949069977 74.0131988525 -19.0520133972 27.5820827484 0.0000000000 0.0000000000 -0.1151025519 11.5345458984
30.0777492523 74.8329010010 -18.7950935364 27.3524703979 0.0000000000 0.0000000000 -0.1152685583 11.6359529495
30.7444496155 75.6446533203 -18.5373554230 27.1320648193 0.0000000000 0.0000000000 -0.1155493408 11.7346963882
31.3940849304 76.4469604492 -18.2846431732 26.9218368530 0.0000000000 0.0000000000 -0.1159017608 11.8309001923
32.0263977051 77.2391662598 -18.0611724854 26.7205448151 0.0000000000 0.0000000000 -0.1163480431 11.9244632721
32.6414299011 78.0192489624 -17.8569641113 26.5281543732 0.0000000000 0.0000000000 -0.1168347672 12.0151529312
33.2394638062 78.7869949341 -17.6556339264 26.3446540833 0.0000000000 0.0000000000 -0.1173286662 12.1028413773
33.8205032349 79.5412902832 -17.4655132294 26.1615810394 0.0000000000 0.0000000000 -0.1178172529 12.1879568100
34.3848571777 80.2829666138 -17.2914772034 25.9748840332 0.0000000000 0.0000000000 -0.1183069199 12.2707576752
34.9328308105 81.0116577148 -17.1201324463 25.7949790955 0.0000000000 0.0000000000 -0.1187881902 12.3510236740
35.4646148682 81.7279510498 -16.9346752167 25.6175975800 0.0000000000 0.0000000000 -0.1193236858 12.4279108047
35.9795570374 82.4298019409 -16.7467231750 25.4358425140 0.0000000000 0.0000000000 -0.1198753938 12.5018939972
36.4771995544 83.1156692505 -16.5798530579 25.2502574921 0.0000000000 0.0000000000 -0.1203689724 12.5731353760
36.9576911926 83.7865676880 -16.4120140076 25.0689144135 0.0000000000 0.0000000000 -0.1207132638 12.6421031952
37.4218215942 84.4440460205 -16.2593746185 24.8885250092 0.0000000000 0.0000000000 -0.1208862513 12.7085523605
37.8701667786 85.0869140625 -16.1048126221 24.7082080841 0.0000000000 0.0000000000 -0.1207854077 12.7725553513
38.3029861450 85.7146453857 -15.9639883041 24.5408344269 0.0000000000 0.0000000000 -0.1204310954 12.8341760635
38.7202568054 86.3273544312 -15.8200340271 24.3774547577 0.0000000000 0.0000000000 -0.1198774800 12.8935375214
39.1227874756 86.9253692627 -15.6714496613 24.2256755829 0.0000000000 0.0000000000 -0.1192374974 12.9502868652
39.5105361938 87.5077209473 -15.5139675140 24.0863342285 0.0000000000 0.0000000000 -0.1185284555 13.0048017502
39.8837127686 88.0721817017 -15.3506298065 23.9566955566 0.0000000000 0.0000000000 -0.1177898496 13.0572881699
40.2424659729 88.6183624268 -15.1997051239 23.8285369873 0.0000000000 0.0000000000 -0.1170651391 13.1077480316
40.5867958069 89.1458740234 -15.0719251633 23.7011604309 0.0000000000 0.0000000000 -0.1163823977 13.1565313339
40.9174537659 89.6555633545 -14.9516096115 23.5789489746 0.0000000000 0.0000000000 -0.1157605052 13.2039794922
41.2358474731 90.1486358643 -14.8332262039 23.4697132111 0.0000000000 0.0000000000 -0.1151219532 13.2497348785
41.5415191650 90.6237792969 -14.7123498917 23.3574447632 0.0000000000 0.0000000000 -0.1145477220 13.2939815521
41.8340301514 91.0816268921 -14.5984458923 23.2418479919 0.0000000000 0.0000000000 -0.1140920296 13.3368206024
42.1142730713 91.5228500366 -14.4860458374 23.1280212402 0.0000000000 0.0000000000 -0.1136853099 13.3783149719
42.3828735352 91.9481506348 -14.3812294006 23.0251712799 0.0000000000 0.0000000000 -0.1132879630 13.4185762405
42.6397590637 92.3578109741 -14.2757167816 22.9291419983 0.0000000000 0.0000000000 -0.1128326952 13.4571533203
42.8851165771 92.7518463135 -14.1733407974 22.8345832825 0.0000000000 0.0000000000 -0.1123300791 13.4941272736
43.1199150085 93.1313552856 -14.0687494278 22.7385997772 0.0000000000 0.0000000000 -0.1118024960 13.5294990540
43.3438415527 93.4965667725 -13.9773340225 22.6545639038 0.0000000000 0.0000000000 -0.1113228053 13.5631875992
43.5576896667 93.8485870361 -13.8985795975 22.5699539185 0.0000000000 0.0000000000 -0.1109231189 13.5948677063
43.7618179321 94.1873092651 -13.8125000000 22.4909534454 0.0000000000 0.0000000000 -0.1106108055 13.6249666214
43.9567832947 94.5123062134 -13.7259597778 22.4165115356 0.0000000000 0.0000000000 -0.1102662608 13.6534280777
44.1434516907 94.8237533569 -13.6388616562 22.3447322845 0.0000000000 0.0000000000 -0.1099250540 13.6803379059
44.3219795227 95.1231307983 -13.5583105087 22.2735290527 0.0000000000 0.0000000000 -0.1095126346 13.7057600021
44.4912338257 95.4097137451 -13.4837350845 22.2020835876 0.0000000000 0.0000000000 -0.1090760082 13.7302446365
44.6516418457 95.6833190918 -13.4170408249 22.1329650879 0.0000000000 0.0000000000 -0.1085359678 13.7534122467
44.8042716980 95.9447631836 -13.3614110947 22.0644931793 0.0000000000 0.0000000000 -0.1079304814 13.7754030228
44.9497337341 96.1957321167 -13.3015689850 21.9940357208 0.0000000000 0.0000000000 -0.1072766632 13.7964649200
