#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.4312406778 13.6402902603 -19.2849788666 36.2302474976 0.0000000000 0.0000000000 -0.0254145227 0.7433515191
-1.0300725698 17.0947494507 -24.7260532379 34.0414314270 0.0000000000 0.0000000000 -0.0462971181 1.2023156881
-1.5968875885 19.8949794769 -28.0652980804 33.8794555664 0.0000000000 0.0000000000 -0.0648933649 1.6148768663
-2.0351009369 22.5919818878 -29.4424915314 34.4168434143 0.0000000000 0.0000000000 -0.0809028149 1.9969328642
-2.3535640240 25.0177497864 -30.3007678986 34.8589439392 0.0000000000 0.0000000000 -0.0944308937 2.3557691574
-2.5585920811 27.2371730804 -30.8372039795 35.0255546570 0.0000000000 0.0000000000 -0.1055441275 2.6952400208
-2.6626789570 29.3180618286 -31.0314521790 35.0542182922 0.0000000000 0.0000000000 -0.1141672283 3.0166521072
-2.6776788235 31.2697162628 -31.0677528381 35.0442886353 0.0000000000 0.0000000000 -0.1210890859 3.3223850727
-2.6082038879 33.0661430359 -30.9930992126 35.0268363953 0.0000000000 0.0000000000 -0.1266473830 3.6139495373
-2.4582667351 34.6898612976 -30.8997516632 35.0169067383 0.0000000000 0.0000000000 -0.1308363229 3.8933384418
-2.2315077782 36.1532516479 -30.8126621246 35.0303993225 0.0000000000 0.0000000000 -0.1338728964 4.1624517441
-1.9335271120 37.4914016724 -30.7197952271 35.0958366394 0.0000000000 0.0000000000 -0.1356488913 4.4221544266
-1.5683196783 38.7392883301 -30.6142807007 35.1600685120 0.0000000000 0.0000000000 -0.1363049895 4.6735515594
-1.1395943165 39.9136428833 -30.4525756836 35.2207145691 0.0000000000 0.0000000000 -0.1360829622 4.9172806740
-0.6553835869 41.0235290527 -30.2353916168 35.2854881287 0.0000000000 0.0000000000 -0.1350605637 5.1545171738
-0.1233775541 42.0711174011 -29.9867057800 35.3637084961 0.0000000000 0.0000000000 -0.1334841847 5.3859710693
