#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0007124147 0.1364770085 -25.5456962585 35.3375434875 0.0000000000 0.0000000000 -0.0002060878 0.0074097454
-0.0011473644 0.2691709101 -25.5645885468 35.2985496521 0.0000000000 0.0000000000 -0.0004151522 0.0145141492
-0.0013593776 0.4000400305 -25.5909709930 35.2580642700 0.0000000000 0.0000000000 -0.0006327578 0.0215149485
-0.0013915893 0.5291200280 -25.6159439087 35.2191696167 0.0000000000 0.0000000000 -0.0008464644 0.0284336396
-0.0012229151 0.6564458013 -25.6397094727 35.1817741394 0.0000000000 0.0000000000 -0.0010571852 0.0352792256
-0.0009198565 0.7819405794 -25.6637916565 35.1452026367 0.0000000000 0.0000000000 -0.0012662896 0.0420521423
-0.0005013926 0.9055984020 -25.6884021759 35.1097679138 0.0000000000 0.0000000000 -0.0014750662 0.0487556644
0.0000064149 1.0274087191 -25.7130756378 35.0753746033 0.0000000000 0.0000000000 -0.0016796350 0.0553965494
0.0006049986 1.1474214792 -25.7378368378 35.0419044495 0.0000000000 0.0000000000 -0.0018816331 0.0619790182
0.0013034266 1.2656848431 -25.7626495361 35.0090904236 0.0000000000 0.0000000000 -0.0020815872 0.0685034245
0.0020913628 1.3822292089 -25.7875022888 34.9770698547 0.0000000000 0.0000000000 -0.0022814723 0.0749753639
0.0029805985 1.4970946312 -25.8125514984 34.9458999634 0.0000000000 0.0000000000 -0.0024807106 0.0813950151
0.0039537149 1.6103006601 -25.8374671936 34.9153900146 0.0000000000 0.0000000000 -0.0026796029 0.0877669081
0.0050111483 1.7218948603 -25.8622245789 34.8853454590 0.0000000000 0.0000000000 -0.0028765337 0.0940932333
0.0061458116 1.8319146633 -25.8869094849 34.8561096191 0.0000000000 0.0000000000 -0.0030732113 0.1003776342
0.0073550013 1.9403864145 -25.9115295410 34.8278274536 0.0000000000 0.0000000000 -0.0032679909 0.1066204235
0.0086312313 2.0473456383 -25.9360485077 34.8003082275 0.0000000000 0.0000000000 -0.0034626492 0.1128225252
0.0099957651 2.1528298855 -25.9603576660 34.7733573914 0.0000000000 0.0000000000 -0.0036552518 0.1189863011
0.0114418669 2.2568774223 -25.9845943451 34.7471275330 0.0000000000 0.0000000000 -0.0038464041 0.1251107156
0.0129600652 2.3595206738 -26.0086288452 34.7213020325 0.0000000000 0.0000000000 -0.0040358282 0.1311991215
0.0145451464 2.4607980251 -26.0328254700 34.6964263916 0.0000000000 0.0000000000 -0.0042243800 0.1372526735
0.0161892679 2.5607578754 -26.0571651459 34.6722335815 0.0000000000 0.0000000000 -0.0044112494 0.1432749629
0.0179083124 2.6594467163 -26.0815334320 34.6488380432 0.0000000000 0.0000000000 -0.0045962343 0.1492642164
