#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0699074566 13.6461534500 -25.5456962585 35.3375434875 0.0000000000 0.0000000000 -0.0206876080 0.7423610091
-0.4359211624 16.8941383362 -29.2516975403 34.7144699097 0.0000000000 0.0000000000 -0.0379840471 1.1873602867
-0.8244124055 19.5830421448 -31.4427490234 34.7907028198 0.0000000000 0.0000000000 -0.0516465828 1.5889079571
-1.1104043722 22.2386398315 -32.1683807373 35.0655593872 0.0000000000 0.0000000000 -0.0634376705 1.9589679241
-1.2867636681 24.6976947784 -32.5582504272 35.2432098389 0.0000000000 0.0000000000 -0.0735591054 2.3045086861
-1.3631480932 27.0152378082 -32.7390480042 35.2995185852 0.0000000000 0.0000000000 -0.0815076604 2.6311690807
-1.3490153551 29.2398185730 -32.7226715088 35.3412590027 0.0000000000 0.0000000000 -0.0878179148 2.9413781166
-1.2510428429 31.3689002991 -32.5979576111 35.3433761597 0.0000000000 0.0000000000 -0.0923653319 3.2370045185
-1.0761260986 33.3723335266 -32.4601135254 35.3098983765 0.0000000000 0.0000000000 -0.0955656394 3.5206463337
-0.8271685839 35.2308845520 -32.3553733826 35.2421684265 0.0000000000 0.0000000000 -0.0974451676 3.7930843830
-0.5059837103 36.9617500305 -32.2252807617 35.2013130188 0.0000000000 0.0000000000 -0.0984393060 4.0552568436
-0.1121218354 38.5974121094 -32.0049400330 35.2114181519 0.0000000000 0.0000000000 -0.0986106917 4.3080439568
0.3502212167 40.1676864624 -31.7177715302 35.2870483398 0.0000000000 0.0000000000 -0.0982906893 4.5526981354
0.8755740523 41.6852951050 -31.4230308533 35.4040184021 0.0000000000 0.0000000000 -0.0973007008 4.7903614044
1.4578572512 43.1649398804 -31.1414375305 35.4880752563 0.0000000000 0.0000000000 -0.0960154310 5.0218477249
2.0944590569 44.6010475159 -30.8654899597 35.5146675110 0.0000000000 0.0000000000 -0.0946281776 5.2478861809
2.7800350189 45.9911918640 -30.5820827484 35.4927940369 0.0000000000 0.0000000000 -0.0933155194 5.4689254761
3.5104367733 47.3355369568 -30.2892971039 35.4473648071 0.0000000000 0.0000000000 -0.0921790749 5.6857376099
4.2824378014 48.6341857910 -29.9586906433 35.4006385803 0.0000000000 0.0000000000 -0.0913743898 5.8988347054
5.0910205841 49.8932991028 -29.6146697998 35.3806266785 0.0000000000 0.0000000000 -0.0909432694 6.1092514992
5.9347815514 51.1139450073 -29.2771625519 35.3425674438 0.0000000000 0.0000000000 -0.0910808593 6.3173251152
6.8119564056 52.3046684265 -28.9713535309 35.2607421875 0.0000000000 0.0000000000 -0.0917229056 6.5232472420
7.7199859619 53.4795074463 -28.6709957123 35.1428413391 0.0000000000 0.0000000000 -0.0929127857 6.7268834114
8.6570968628 54.6438636780 -28.3716411591 35.0135002136 0.0000000000 0.0000000000 -0.0946417153 6.9282169342
9.6211776733 55.8024330139 -28.0379333496 34.8689155579 0.0000000000 0.0000000000 -0.0968255997 7.1272497177
10.6105012894 56.9580688477 -27.6995220184 34.7395248413 0.0000000000 0.0000000000 -0.0993954167 7.3239212036
11.6226177216 58.1169776917 -27.3414783478 34.5809326172 0.0000000000 0.0000000000 -0.1023274735 7.5180878639
12.6553459167 59.2860260010 -26.9965229034 34.3933029175 0.0000000000 0.0000000000 -0.1055252776 7.7096371651
13.7070684433 60.4657325745 -26.6436519623 34.1719398499 0.0000000000 0.0000000000 -0.1089796349 7.8985748291
14.7758350372 61.6560821533 -26.2757091522 33.9333572388 0.0000000000 0.0000000000 -0.1125582233 8.0853576660
15.8598461151 62.8572349548 -25.8947753906 33.6873245239 0.0000000000 0.0000000000 -0.1162631735 8.2702379227
16.9579029083 64.0734863281 -25.4999904633 33.4328346252 0.0000000000 0.0000000000 -0.1200774387 8.4530324936
18.0684776306 65.3069839478 -25.1201381683 33.1551017761 0.0000000000 0.0000000000 -0.1240288094 8.6338376999
19.1898326874 66.5624465942 -24.7577877045 32.8428001404 0.0000000000 0.0000000000 -0.1279599369 8.8125553131
20.3211212158 67.8431701660 -24.4136390686 32.5057678223 0.0000000000 0.0000000000 -0.1318335235 8.9890489578
21.4612960815 69.1505050659 -24.0762844086 32.1720848083 0.0000000000 0.0000000000 -0.1356070489 9.1628589630
22.6102867126 70.4845886230 -23.7252826691 31.8251152039 0.0000000000 0.0000000000 -0.1393515021 9.3339166641
23.7671604156 71.8444976807 -23.3934326172 31.4921627045 0.0000000000 0.0000000000 -0.1430259794 9.5018272400
24.9314804077 73.2299270630 -23.0674457550 31.1600723267 0.0000000000 0.0000000000 -0.1466274709 9.6660051346
26.1029300690 74.6405181885 -22.7283382416 30.8248806000 0.0000000000 0.0000000000 -0.1501377970 9.8264312744
27.2809886932 76.0757141113 -22.3963603973 30.4984169006 0.0000000000 0.0000000000 -0.1534942836 9.9830026627
28.4653873444 77.5354461670 -22.0315055847 30.1507377625 0.0000000000 0.0000000000 -0.1566981375 10.1357011795
29.6557350159 79.0191497803 -21.6463127136 29.8228874207 0.0000000000 0.0000000000 -0.1599001735 10.2850446701
30.8518142700 80.5258178711 -21.2886753082 29.4709911346 0.0000000000 0.0000000000 -0.1631431431 10.4313821793
32.0523757935 82.0546035767 -20.9532642365 29.1167583466 0.0000000000 0.0000000000 -0.1663682312 10.5749073029
33.2562103271 83.6053390503 -20.6351261139 28.7703323364 0.0000000000 0.0000000000 -0.1696263701 10.7156686783
34.4620323181 85.1770782471 -20.3171443939 28.4656219482 0.0000000000 0.0000000000 -0.1729187965 10.8536128998
35.6692733765 86.7682266235 -19.9683914185 28.1651592255 0.0000000000 0.0000000000 -0.1762471199 10.9887857437
36.8767166138 88.3781280518 -19.6355247498 27.8762855530 0.0000000000 0.0000000000 -0.1795475632 11.1212663651
38.0842056274 90.0064849854 -19.3144149780 27.5824470520 0.0000000000 0.0000000000 -0.1828369945 11.2509107590
39.2916641235 91.6527175903 -19.0170478821 27.2966270447 0.0000000000 0.0000000000 -0.1861116439 11.3775987625
40.4988632202 93.3157577515 -18.7264347076 27.0050926208 0.0000000000 0.0000000000 -0.1892880499 11.5014286041
41.7045745850 94.9943542480 -18.4204063416 26.7250080109 0.0000000000 0.0000000000 -0.1923391968 11.6226005554
42.9074974060 96.6873016357 -18.1135597229 26.4754962921 0.0000000000 0.0000000000 -0.1953013986 11.7408914566
44.1066665649 98.3927917480 -17.7991790771 26.2419052124 0.0000000000 0.0000000000 -0.1981546730 11.8560590744
45.3015441895 100.1106185913 -17.4775524139 26.0228080750 0.0000000000 0.0000000000 -0.2008544505 11.9681978226
46.4915542603 101.8389053345 -17.1634464264 25.7999801636 0.0000000000 0.0000000000 -0.2033523172 12.0773611069
47.6763114929 103.5771408081 -16.8667411804 25.5781784058 0.0000000000 0.0000000000 -0.2056301236 12.1839189529
48.8554267883 105.3231506348 -16.5900611877 25.3747348785 0.0000000000 0.0000000000 -0.2077564448 12.2881603241
50.0284957886 107.0774917603 -16.3287620544 25.1804447174 0.0000000000 0.0000000000 -0.2097851783 12.3899259567
51.1949424744 108.8401260376 -16.0865039825 24.9925308228 0.0000000000 0.0000000000 -0.2116968334 12.4891576767
52.3540267944 110.6090774536 -15.8369588852 24.8180751801 0.0000000000 0.0000000000 -0.2136217952 12.5858888626
53.5050888062 112.3823623657 -15.6015949249 24.6508426666 0.0000000000 0.0000000000 -0.2154765129 12.6803283691
54.6480712891 114.1591567993 -15.4015359879 24.5014476776 0.0000000000 0.0000000000 -0.2172635794 12.7725372314
55.7834701538 115.9393081665 -15.2197704315 24.3510437012 0.0000000000 0.0000000000 -0.2190647721 12.8628206253
56.9116783142 117.7216339111 -15.0402889252 24.1981849670 0.0000000000 0.0000000000 -0.2208271325 12.9508857727
58.0327911377 119.5040969849 -14.8450508118 24.0368919373 0.0000000000 0.0000000000 -0.2225498706 13.0369367599
59.1466636658 121.2860412598 -14.6589727402 23.8784427643 0.0000000000 0.0000000000 -0.2242563665 13.1208705902
60.2530212402 123.0677261353 -14.4976930618 23.7320518494 0.0000000000 0.0000000000 -0.2258641124 13.2027559280
61.3520164490 124.8490829468 -14.3425893784 23.5939369202 0.0000000000 0.0000000000 -0.2274778485 13.2826910019
62.4444999695 126.6299591064 -14.1870183945 23.4679965973 0.0000000000 0.0000000000 -0.2290992737 13.3603963852
63.5301094055 128.4099426270 -14.0177049637 23.3514518738 0.0000000000 0.0000000000 -0.2307184339 13.4359455109
64.6085357666 130.1878814697 -13.8442001343 23.2441825867 0.0000000000 0.0000000000 -0.2323056459 13.5094804764
65.6801147461 131.9644012451 -13.6965522766 23.1385631561 0.0000000000 0.0000000000 -0.2337418199 13.5811052322
66.7448883057 133.7392730713 -13.5753889084 23.0287227631 0.0000000000 0.0000000000 -0.2349817306 13.6508798599
67.8026123047 135.5109863281 -13.4680643082 22.9227523804 0.0000000000 0.0000000000 -0.2360694110 13.7189693451
68.8535003662 137.2804412842 -13.3628330231 22.8230037689 0.0000000000 0.0000000000 -0.2369866818 13.7850112915
69.8976516724 139.0482025146 -13.2643413544 22.7194709778 0.0000000000 0.0000000000 -0.2376750112 13.8489837646
70.9350051880 140.8136444092 -13.1431589127 22.6192035675 0.0000000000 0.0000000000 -0.2381737977 13.9111766815
71.9650955200 142.5754089355 -13.0151500702 22.5319538116 0.0000000000 0.0000000000 -0.2384896576 13.9721593857
72.9881362915 144.3331604004 -12.9121761322 22.4519157410 0.0000000000 0.0000000000 -0.2386416048 14.0323572159
74.0049209595 146.0870208740 -12.8408479691 22.3622283936 0.0000000000 0.0000000000 -0.2386903018 14.0916852951
75.0154418945 147.8363342285 -12.7687768936 22.2721595764 0.0000000000 0.0000000000 -0.2385213971 14.1504840851
76.0196533203 149.5811920166 -12.6810750961 22.1858654022 0.0000000000 0.0000000000 -0.2381237447 14.2087249756
77.0183029175 151.3218231201 -12.5874223709 22.0980262756 0.0000000000 0.0000000000 -0.2374431342 14.2657594681
78.0117797852 153.0582122803 -12.5013351440 22.0101718903 0.0000000000 0.0000000000 -0.2364921868 14.3215522766
79.0002288818 154.7912139893 -12.4229993820 21.9273109436 0.0000000000 0.0000000000 -0.2352437526 14.3758373260
79.9834747314 156.5208435059 -12.3539705276 21.8497390747 0.0000000000 0.0000000000 -0.2337794602 14.4286890030
80.9612960815 158.2467346191 -12.2827787399 21.7722072601 0.0000000000 0.0000000000 -0.2321099490 14.4802036285
81.9333572388 159.9682312012 -12.2032260895 21.6981658936 0.0000000000 0.0000000000 -0.2302875370 14.5306291580
82.9001007080 161.6848144531 -12.1271562576 21.6287002563 0.0000000000 0.0000000000 -0.2284241170 14.5798158646
83.8619537354 163.3970031738 -12.0393753052 21.5642414093 0.0000000000 0.0000000000 -0.2264119685 14.6278762817
84.8194656372 165.1056976318 -11.9632863998 21.4975357056 0.0000000000 0.0000000000 -0.2243271172 14.6746892929
85.7722702026 166.8100280762 -11.8933973312 21.4273738861 0.0000000000 0.0000000000 -0.2221802920 14.7202520370
86.7201919556 168.5099792480 -11.8214387894 21.3618068695 0.0000000000 0.0000000000 -0.2200070471 14.7648792267
