#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.0071225157 1.3647654057 -25.5456962585 35.3375434875 0.0000000000 0.0000000000 -0.0020687587 0.0742334202
-0.0056418185 2.4744012356 -25.7540149689 34.9942283630 0.0000000000 0.0000000000 -0.0040816460 0.1372815520
-0.0008353033 3.5025234222 -26.0712528229 34.7100410461 0.0000000000 0.0000000000 -0.0060875048 0.1971490532
0.0069083949 4.4561853409 -26.3523769379 34.4900283813 0.0000000000 0.0000000000 -0.0079939850 0.2544113100
0.0168328602 5.3439111710 -26.6294479370 34.3279495239 0.0000000000 0.0000000000 -0.0098169791 0.3097027838
0.0288943145 6.1739606857 -26.9058856964 34.2033691406 0.0000000000 0.0000000000 -0.0115792528 0.3632849753
0.0432965420 6.9520063400 -27.1681118011 34.1123352051 0.0000000000 0.0000000000 -0.0133100757 0.4153730273
0.0596586652 7.6833810806 -27.4100971222 34.0441474915 0.0000000000 0.0000000000 -0.0150037119 0.4662340283
0.0776267126 8.3722915649 -27.6333312988 33.9993247986 0.0000000000 0.0000000000 -0.0166766178 0.5159720778
0.0968671516 9.0223302841 -27.8394279480 33.9708213806 0.0000000000 0.0000000000 -0.0183143690 0.5646733642
0.1171908677 9.6364545822 -28.0342197418 33.9567031860 0.0000000000 0.0000000000 -0.0199258011 0.6124922633
0.1383991390 10.2169446945 -28.2137832642 33.9561729431 0.0000000000 0.0000000000 -0.0214897711 0.6594721079
0.1603699178 10.7659082413 -28.3732681274 33.9641494751 0.0000000000 0.0000000000 -0.0230108462 0.7057045698
0.1829375476 11.2846899033 -28.5124359131 33.9779739380 0.0000000000 0.0000000000 -0.0244894549 0.7512522340
0.2057091445 11.7748336792 -28.6341094971 33.9944992065 0.0000000000 0.0000000000 -0.0259335861 0.7961651087
0.2283977717 12.2380170822 -28.7407760620 34.0118408203 0.0000000000 0.0000000000 -0.0273422804 0.8404809833
0.2507052422 12.6753721237 -28.8332729340 34.0307655334 0.0000000000 0.0000000000 -0.0287106335 0.8842182159
0.2722657025 13.0879220963 -28.9120368958 34.0529174805 0.0000000000 0.0000000000 -0.0300504602 0.9273629785
0.2928679585 13.4766902924 -28.9745292664 34.0742988586 0.0000000000 0.0000000000 -0.0313625857 0.9699154496
0.3122827709 13.8431482315 -29.0236225128 34.0947189331 0.0000000000 0.0000000000 -0.0326455683 1.0119241476
