#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-102.7361450195 141.5309600830 -28.7191982269 38.2247123718 0.0000000000 0.0000000000 -0.0000194220 0.0194783974
-101.7658462524 140.7859497070 -28.7132911682 38.2234840393 0.0000000000 0.0000000000 0.0001012530 0.0319174789
-100.8046417236 140.0503845215 -28.5245342255 38.1319427490 0.0000000000 0.0000000000 0.0001152921 0.0492952317
-99.8475646973 139.3117065430 -28.6233158112 38.2065773010 0.0000000000 0.0000000000 0.0000441679 0.0698309243
-98.8985900879 138.5725708008 -28.6281394958 38.2040176392 0.0000000000 0.0000000000 0.0001357310 0.0870284736
-97.9577713013 137.8319244385 -28.6364059448 38.2068252563 0.0000000000 0.0000000000 0.0002622381 0.0996304676
-97.0247039795 137.0901947021 -28.6589469910 38.2194786072 0.0000000000 0.0000000000 0.0003515925 0.1081997529
-96.0987472534 136.3482208252 -28.6558399200 38.2192001343 0.0000000000 0.0000000000 0.0003968597 0.1135021970
-95.1791610718 135.6065368652 -28.6551189423 38.2230339050 0.0000000000 0.0000000000 0.0003990454 0.1164224446
-94.2653732300 134.8657226562 -28.6553058624 38.2264671326 0.0000000000 0.0000000000 0.0003694744 0.1176474541
-93.3571472168 134.1260833740 -28.6531543732 38.2290306091 0.0000000000 0.0000000000 0.0003251389 0.1176563501
-92.4545211792 133.3878173828 -28.6437664032 38.2309684753 0.0000000000 0.0000000000 0.0002619596 0.1168711856
-91.5576705933 132.6509094238 -28.6313323975 38.2439384460 0.0000000000 0.0000000000 0.0002153097 0.1155532077
-90.6668930054 131.9151458740 -28.5747489929 38.2739448547 0.0000000000 0.0000000000 0.0001882848 0.1142640561
-89.7825088501 131.1800384521 -28.3617038727 38.2996063232 0.0000000000 0.0000000000 0.0002777983 0.1153792664
-88.9043960571 130.4460754395 -28.2750530243 38.3235435486 0.0000000000 0.0000000000 0.0004036410 0.1208962873
-88.0325164795 129.7134857178 -28.2310333252 38.3373336792 0.0000000000 0.0000000000 0.0004670155 0.1316112280
-87.1667404175 128.9826660156 -28.1955585480 38.3475685120 0.0000000000 0.0000000000 0.0004625237 0.1465419680
-86.3069839478 128.2539672852 -28.1688194275 38.3604583740 0.0000000000 0.0000000000 0.0004333867 0.1637738049
-85.4531173706 127.5276184082 -28.1518421173 38.3830070496 0.0000000000 0.0000000000 0.0003996453 0.1817022115
-84.6050109863 126.8037033081 -28.1361484528 38.4102592468 0.0000000000 0.0000000000 0.0003920991 0.1997067183
-83.7626037598 126.0821990967 -28.1169872284 38.4397621155 0.0000000000 0.0000000000 0.0003864261 0.2176766694
-82.9258041382 125.3629455566 -28.0909843445 38.4694252014 0.0000000000 0.0000000000 0.0003722292 0.2357027382
-82.0946350098 124.6458663940 -28.0489444733 38.4929428101 0.0000000000 0.0000000000 0.0003054777 0.2533662021
-81.2691497803 123.9309463501 -27.9946327209 38.5151176453 0.0000000000 0.0000000000 0.0002198315 0.2708914876
-80.4493789673 123.2182922363 -27.9349174500 38.5387496948 0.0000000000 0.0000000000 0.0001262869 0.2886209488
-79.6353454590 122.5080184937 -27.8734149933 38.5663070679 0.0000000000 0.0000000000 0.0000430753 0.3069747686
-78.8270034790 121.8003005981 -27.8104782104 38.5982704163 0.0000000000 0.0000000000 -0.0000263496 0.3262644708
-78.0243377686 121.0952529907 -27.7454795837 38.6336822510 0.0000000000 0.0000000000 -0.0001320221 0.3467310071
-77.2273101807 120.3929748535 -27.6791648865 38.6728744507 0.0000000000 0.0000000000 -0.0002593204 0.3684807122
-76.4359283447 119.6935195923 -27.6124515533 38.7162094116 0.0000000000 0.0000000000 -0.0004035478 0.3915537596
-75.6502075195 118.9968948364 -27.5458278656 38.7626342773 0.0000000000 0.0000000000 -0.0005637753 0.4159556925
-74.8701477051 118.3031082153 -27.4772224426 38.8097724915 0.0000000000 0.0000000000 -0.0007705080 0.4415423870
-74.0957565308 117.6120986938 -27.4044342041 38.8552780151 0.0000000000 0.0000000000 -0.0010642174 0.4683063030
-73.3269577026 116.9237136841 -27.3281002045 38.8992042542 0.0000000000 0.0000000000 -0.0014637845 0.4962305725
-72.5637130737 116.2378921509 -27.2515277863 38.9438285828 0.0000000000 0.0000000000 -0.0019708772 0.5254781842
-71.8060226440 115.5545806885 -27.1747398376 38.9882240295 0.0000000000 0.0000000000 -0.0025922009 0.5560862422
-71.0538177490 114.8737792969 -27.0972099304 39.0326805115 0.0000000000 0.0000000000 -0.0033488949 0.5879254937
-70.3070831299 114.1954956055 -27.0193138123 39.0774078369 0.0000000000 0.0000000000 -0.0042236368 0.6208953857
-69.5657501221 113.5197906494 -26.9415626526 39.1220130920 0.0000000000 0.0000000000 -0.0051838499 0.6549267173
-68.8298416138 112.8466567993 -26.8641052246 39.1659355164 0.0000000000 0.0000000000 -0.0062029781 0.6899781227
-68.0993041992 112.1761322021 -26.7869625092 39.2090377808 0.0000000000 0.0000000000 -0.0072281701 0.7260908484
-67.3741912842 111.5082321167 -26.7103824615 39.2510719299 0.0000000000 0.0000000000 -0.0082429359 0.7632967234
