#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-102.7372589111 141.5305786133 -28.7191982269 38.2247123718 0.0000000000 0.0000000000 -0.0001712495 0.0537238568
-101.8019485474 140.8165130615 -28.7145118713 38.2222557068 0.0000000000 0.0000000000 0.0000751979 0.0878502876
-101.1523361206 140.5217742920 -28.5389099121 38.1489791870 0.0000000000 0.0000000000 0.0001654284 0.1070569754
-100.4934158325 140.1981353760 -28.6138706207 38.2009315491 0.0000000000 0.0000000000 0.0002054023 0.1308215708
-99.8248214722 139.8494567871 -28.6403484344 38.2200546265 0.0000000000 0.0000000000 0.0002463973 0.1568128467
-99.1466293335 139.4709777832 -28.6534786224 38.2279815674 0.0000000000 0.0000000000 0.0002886993 0.1829021126
-98.4569625854 139.0580902100 -28.6643867493 38.2275085449 0.0000000000 0.0000000000 0.0003200698 0.2081972957
-97.7588729858 138.6172332764 -28.6660614014 38.2284393311 0.0000000000 0.0000000000 0.0003251327 0.2322361618
-97.0581130981 138.1599731445 -28.6650104523 38.2296409607 0.0000000000 0.0000000000 0.0003187739 0.2550022602
-96.3588562012 137.6951599121 -28.6635704041 38.2294692993 0.0000000000 0.0000000000 0.0003118867 0.2766382396
-95.6625061035 137.2259826660 -28.6611137390 38.2286376953 0.0000000000 0.0000000000 0.0003168478 0.2973349392
-94.9694213867 136.7532348633 -28.6562862396 38.2285346985 0.0000000000 0.0000000000 0.0003135563 0.3171657920
-94.2803421021 136.2769012451 -28.6441287994 38.2337875366 0.0000000000 0.0000000000 0.0003575461 0.3361891806
-93.5964508057 135.7961730957 -28.6112232208 38.2547683716 0.0000000000 0.0000000000 0.0004128882 0.3543046117
-92.9208679199 135.3087921143 -28.5215740204 38.3138809204 0.0000000000 0.0000000000 0.0005081188 0.3705694079
-92.2561798096 134.8155212402 -28.4499301910 38.3584899902 0.0000000000 0.0000000000 0.0006179688 0.3863503933
-91.6016540527 134.3177185059 -28.4087753296 38.3835525513 0.0000000000 0.0000000000 0.0006742118 0.4022049904
-90.9568176270 133.8168182373 -28.3791656494 38.4013404846 0.0000000000 0.0000000000 0.0006911333 0.4186573327
-90.3228988647 133.3149719238 -28.3541469574 38.4155502319 0.0000000000 0.0000000000 0.0006591751 0.4359098673
-89.6988449097 132.8129272461 -28.3349151611 38.4262542725 0.0000000000 0.0000000000 0.0006214349 0.4541890025
-89.0840606689 132.3123779297 -28.3186779022 38.4345474243 0.0000000000 0.0000000000 0.0005459521 0.4734978974
-88.4767379761 131.8126373291 -28.3019123077 38.4427528381 0.0000000000 0.0000000000 0.0004563461 0.4939300716
-87.8759231567 131.3144683838 -28.2834300995 38.4505500793 0.0000000000 0.0000000000 0.0003700657 0.5155518651
-87.2821197510 130.8183441162 -28.2606163025 38.4609718323 0.0000000000 0.0000000000 0.0002632853 0.5384111404
-86.6966018677 130.3259887695 -28.2334632874 38.4742660522 0.0000000000 0.0000000000 0.0001585257 0.5624833107
-86.1202316284 129.8389282227 -28.2040691376 38.4890213013 0.0000000000 0.0000000000 0.0000542509 0.5878195763
-85.5528869629 129.3556976318 -28.1745948792 38.5057449341 0.0000000000 0.0000000000 -0.0000349055 0.6145158410
-84.9945983887 128.8758697510 -28.1456336975 38.5226631165 0.0000000000 0.0000000000 -0.0001027822 0.6426441669
-84.4456405640 128.3990631104 -28.1176795959 38.5391273499 0.0000000000 0.0000000000 -0.0001581879 0.6722363234
-83.9082031250 127.9284591675 -28.0915603638 38.5551300049 0.0000000000 0.0000000000 -0.0001804201 0.7032492757
-83.3817596436 127.4642868042 -28.0674324036 38.5698966980 0.0000000000 0.0000000000 -0.0002029435 0.7356585860
-82.8665161133 127.0044937134 -28.0468387604 38.5831604004 0.0000000000 0.0000000000 -0.0002120162 0.7694430947
-82.3609924316 126.5471420288 -28.0297451019 38.5947532654 0.0000000000 0.0000000000 -0.0001716395 0.8046205044
-81.8669357300 126.0957489014 -28.0142173767 38.6044616699 0.0000000000 0.0000000000 -0.0001136793 0.8411465883
