#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-102.7360992432 141.5309143066 -28.7949600220 38.1968917847 0.0000000000 0.0000000000 -0.0000025044 0.0021959252
-101.7648468018 140.7861785889 -28.7947349548 38.1969413757 0.0000000000 0.0000000000 -0.0000028742 0.0031359682
-100.7955627441 140.0438842773 -28.7944545746 38.1970252991 0.0000000000 0.0000000000 -0.0000046222 0.0035382400
-99.8294677734 139.3035278320 -28.7941722870 38.1971321106 0.0000000000 0.0000000000 -0.0000035225 0.0035238471
-98.8679046631 138.5644683838 -28.7938499451 38.1972579956 0.0000000000 0.0000000000 -0.0000008522 0.0033790078
-97.9119262695 137.8262634277 -28.7934398651 38.1974334717 0.0000000000 0.0000000000 -0.0000005186 0.0036281527
-96.9623870850 137.0885467529 -28.7928123474 38.1975746155 0.0000000000 0.0000000000 -0.0000015473 0.0040391679
-96.0197525024 136.3513031006 -28.7921962738 38.1977767944 0.0000000000 0.0000000000 0.0000006584 0.0045546829
-95.0842590332 135.6144866943 -28.7915420532 38.1981735229 0.0000000000 0.0000000000 0.0000063402 0.0053780526
-94.1560287476 134.8782958984 -28.7914447784 38.1993522644 0.0000000000 0.0000000000 0.0000111159 0.0074888426
-93.2349853516 134.1429443359 -28.7930412292 38.2015151978 0.0000000000 0.0000000000 0.0000473589 0.0132756159
-92.3211288452 133.4085998535 -28.7900218964 38.2005767822 0.0000000000 0.0000000000 0.0000745954 0.0209637713
-91.4143753052 132.6754302979 -28.7802543640 38.1977844238 0.0000000000 0.0000000000 0.0000748187 0.0274786297
-90.5147247314 131.9435882568 -28.7594585419 38.1900787354 0.0000000000 0.0000000000 0.0003481858 0.0346082225
-89.6222076416 131.2131652832 -28.7367897034 38.1817398071 0.0000000000 0.0000000000 0.0005138027 0.0424831212
-88.7368240356 130.4841003418 -28.7335147858 38.1838188171 0.0000000000 0.0000000000 0.0003117536 0.0500213318
-87.8586578369 129.7564086914 -28.7319488525 38.1870460510 0.0000000000 0.0000000000 0.0001300137 0.0571589060
-86.9878616333 129.0302124023 -28.7194404602 38.1809196472 0.0000000000 0.0000000000 0.0000725328 0.0652246252
-86.1245193481 128.3055725098 -28.7175216675 38.1891365051 0.0000000000 0.0000000000 0.0000906319 0.0747855157
-85.2687835693 127.5825500488 -28.7086639404 38.2026367188 0.0000000000 0.0000000000 0.0001299435 0.0850405991
-84.4207077026 126.8611984253 -28.6736621857 38.2031097412 0.0000000000 0.0000000000 0.0000449292 0.0952356979
-83.5803222656 126.1415405273 -28.6370811462 38.2000427246 0.0000000000 0.0000000000 -0.0002283893 0.1045621708
-82.7476119995 125.4235458374 -28.6128330231 38.1946983337 0.0000000000 0.0000000000 -0.0006723752 0.1123833731
-81.9225921631 124.7073059082 -28.5974254608 38.2022590637 0.0000000000 0.0000000000 -0.0011768509 0.1194293723
-81.1052627563 123.9927902222 -28.5720748901 38.2057914734 0.0000000000 0.0000000000 -0.0015987697 0.1262315959
-80.2956390381 123.2801284790 -28.5410709381 38.2107238770 0.0000000000 0.0000000000 -0.0019092358 0.1335507333
-79.4936447144 122.5691223145 -28.4959545135 38.2114257812 0.0000000000 0.0000000000 -0.0020176081 0.1416753531
-78.6992263794 121.8598098755 -28.4235076904 38.1959114075 0.0000000000 0.0000000000 -0.0019429656 0.1514392048
-77.9123306274 121.1520767212 -28.3227024078 38.1626510620 0.0000000000 0.0000000000 -0.0016427600 0.1636432260
-77.1331329346 120.4463348389 -28.2565593719 38.1717376709 0.0000000000 0.0000000000 -0.0012382563 0.1774394810
-76.3616333008 119.7425918579 -28.2305316925 38.2129364014 0.0000000000 0.0000000000 -0.0008327024 0.1924282908
-75.5978012085 119.0409011841 -28.2075405121 38.2556991577 0.0000000000 0.0000000000 -0.0004185702 0.2086173296
-74.8415908813 118.3412780762 -28.1833686829 38.2990837097 0.0000000000 0.0000000000 -0.0000616846 0.2260713875
-74.0929260254 117.6437072754 -28.1569595337 38.3423347473 0.0000000000 0.0000000000 0.0002058740 0.2448779941
-73.3517761230 116.9482345581 -28.1286125183 38.3833923340 0.0000000000 0.0000000000 0.0003836216 0.2650805414
-72.6180953979 116.2548751831 -28.0979881287 38.4223403931 0.0000000000 0.0000000000 0.0005016130 0.2865853012
-71.8918151855 115.5636825562 -28.0650577545 38.4605827332 0.0000000000 0.0000000000 0.0005830959 0.3090938032
-71.1729278564 114.8747024536 -28.0287265778 38.4992332458 0.0000000000 0.0000000000 0.0006142094 0.3321338296
-70.4614028931 114.1879501343 -27.9835147858 38.5377960205 0.0000000000 0.0000000000 0.0005885180 0.3554937840
-69.7572097778 113.5034408569 -27.9281330109 38.5722084045 0.0000000000 0.0000000000 0.0005064333 0.3788805008
-69.0602798462 112.8211593628 -27.8651561737 38.6033897400 0.0000000000 0.0000000000 0.0003980052 0.4021858573
-68.3705749512 112.1411056519 -27.7955150604 38.6331672668 0.0000000000 0.0000000000 0.0002903516 0.4253202677
-67.6880798340 111.4632720947 -27.7200641632 38.6626777649 0.0000000000 0.0000000000 0.0001990936 0.4484733343
-67.0127258301 110.7876663208 -27.6404018402 38.6934013367 0.0000000000 0.0000000000 0.0001666957 0.4719991982
-66.3444976807 110.1143035889 -27.5576477051 38.7263755798 0.0000000000 0.0000000000 0.0002062086 0.4962397814
-65.6833419800 109.4432144165 -27.4723739624 38.7615509033 0.0000000000 0.0000000000 0.0003263603 0.5215129852
-65.0292434692 108.7743988037 -27.3847351074 38.7989006042 0.0000000000 0.0000000000 0.0005199249 0.5480486751
-64.3821411133 108.1078186035 -27.2954216003 38.8383483887 0.0000000000 0.0000000000 0.0007813288 0.5759117007
-63.7419853210 107.4435195923 -27.2061042786 38.8800659180 0.0000000000 0.0000000000 0.0011070379 0.6051230431
-63.1087074280 106.7814712524 -27.1183357239 38.9236831665 0.0000000000 0.0000000000 0.0014821661 0.6355938911
-62.4822502136 106.1216659546 -27.0332908630 38.9672851562 0.0000000000 0.0000000000 0.0018828297 0.6671341062
-61.8625373840 105.4641494751 -26.9514636993 39.0098571777 0.0000000000 0.0000000000 0.0022967285 0.6995246410
-61.2495193481 104.8088836670 -26.8726787567 39.0508346558 0.0000000000 0.0000000000 0.0026872836 0.7325814962
-60.6430969238 104.1559143066 -26.7970237732 39.0897941589 0.0000000000 0.0000000000 0.0030414565 0.7660189271
-60.0431747437 103.5052642822 -26.7244148254 39.1261749268 0.0000000000 0.0000000000 0.0034164251 0.7996302247
-59.4496688843 102.8569488525 -26.6545886993 39.1601295471 0.0000000000 0.0000000000 0.0037766593 0.8332166672
-58.8624877930 102.2109985352 -26.5871143341 39.1917724609 0.0000000000 0.0000000000 0.0041162460 0.8666031957
-58.2815284729 101.5674667358 -26.5216350555 39.2205162048 0.0000000000 0.0000000000 0.0044104299 0.8996633887
-57.7066917419 100.9263610840 -26.4580993652 39.2463531494 0.0000000000 0.0000000000 0.0046542971 0.9322815537
-57.1378898621 100.2877273560 -26.3962783813 39.2695159912 0.0000000000 0.0000000000 0.0048376578 0.9644072056
-56.5750350952 99.6516036987 -26.3360385895 39.2902030945 0.0000000000 0.0000000000 0.0049369717 0.9960004091
-56.0180358887 99.0180130005 -26.2769622803 39.3084106445 0.0000000000 0.0000000000 0.0049636476 1.0270116329
-55.4668235779 98.3869705200 -26.2190208435 39.3240814209 0.0000000000 0.0000000000 0.0049097696 1.0575207472
-54.9212646484 97.7585601807 -26.1623058319 39.3372802734 0.0000000000 0.0000000000 0.0048034387 1.0875967741
-54.3812789917 97.1327743530 -26.1065788269 39.3483161926 0.0000000000 0.0000000000 0.0046814652 1.1172727346
-53.8467559814 96.5096817017 -26.0516605377 39.3571510315 0.0000000000 0.0000000000 0.0045508100 1.1465377808
-53.3176040649 95.8893051147 -25.9975910187 39.3638648987 0.0000000000 0.0000000000 0.0044412185 1.1754642725
-52.7937011719 95.2716903687 -25.9440174103 39.3685340881 0.0000000000 0.0000000000 0.0043723006 1.2040988207
-52.2749595642 94.6568603516 -25.8907794952 39.3714370728 0.0000000000 0.0000000000 0.0043289764 1.2324222326
-51.7612800598 94.0448837280 -25.8375720978 39.3727416992 0.0000000000 0.0000000000 0.0043181092 1.2604310513
-51.2525901794 93.4357528687 -25.7843608856 39.3727149963 0.0000000000 0.0000000000 0.0043135094 1.2881406546
-50.7487678528 92.8295440674 -25.7309741974 39.3713836670 0.0000000000 0.0000000000 0.0043467260 1.3155802488
-50.2497558594 92.2262496948 -25.6774959564 39.3686027527 0.0000000000 0.0000000000 0.0044245929 1.3427674770
-49.7554779053 91.6259155273 -25.6237335205 39.3646240234 0.0000000000 0.0000000000 0.0045439573 1.3697593212
-49.2658309937 91.0285644531 -25.5696296692 39.3595733643 0.0000000000 0.0000000000 0.0047062291 1.3966383934
-48.7807693481 90.4342422485 -25.5149917603 39.3536491394 0.0000000000 0.0000000000 0.0048788427 1.4235342741
-48.3001899719 89.8429336548 -25.4598350525 39.3469657898 0.0000000000 0.0000000000 0.0050512864 1.4504934549
-47.8240318298 89.2546844482 -25.4042778015 39.3397521973 0.0000000000 0.0000000000 0.0052485862 1.4775878191
-47.3522300720 88.6694946289 -25.3481693268 39.3316726685 0.0000000000 0.0000000000 0.0054554022 1.5048620701
-46.8847236633 88.0873794556 -25.2916545868 39.3227348328 0.0000000000 0.0000000000 0.0056698127 1.5323344469
-46.4214515686 87.5083312988 -25.2350673676 39.3133468628 0.0000000000 0.0000000000 0.0058788401 1.5599884987
-45.9623374939 86.9323654175 -25.1789340973 39.3042106628 0.0000000000 0.0000000000 0.0060905726 1.5878206491
-45.5073318481 86.3594436646 -25.1237163544 39.2960815430 0.0000000000 0.0000000000 0.0062909438 1.6158710718
-45.0563735962 85.7895660400 -25.0693225861 39.2885284424 0.0000000000 0.0000000000 0.0064985766 1.6441192627
-44.6094055176 85.2227096558 -25.0159873962 39.2822227478 0.0000000000 0.0000000000 0.0067006908 1.6725338697
-44.1663742065 84.6588592529 -24.9638690948 39.2772445679 0.0000000000 0.0000000000 0.0068834615 1.7011164427
-43.7272377014 84.0979843140 -24.9131355286 39.2733917236 0.0000000000 0.0000000000 0.0070565259 1.7298790216
-43.2919425964 83.5400695801 -24.8635654449 39.2702865601 0.0000000000 0.0000000000 0.0071818307 1.7587487698
-42.8604507446 82.9851150513 -24.8154087067 39.2679367065 0.0000000000 0.0000000000 0.0072780331 1.7876939774
-42.4326972961 82.4330749512 -24.7686462402 39.2663002014 0.0000000000 0.0000000000 0.0073688240 1.8167760372
-42.0086479187 81.8839721680 -24.7227954865 39.2651863098 0.0000000000 0.0000000000 0.0074476721 1.8459757566
