#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-102.7372589111 141.5305786133 -28.7191982269 38.2247123718 0.0000000000 0.0000000000 -0.0001712495 0.0537238568
-101.8009414673 140.8169860840 -28.7145118713 38.2222557068 0.0000000000 0.0000000000 0.0000751979 0.0878502876
-101.1479415894 140.5236663818 -28.5389041901 38.1489944458 0.0000000000 0.0000000000 0.0001860460 0.1070891395
-100.4819183350 140.2022705078 -28.6137943268 38.2009925842 0.0000000000 0.0000000000 0.0002276338 0.1308573633
-99.8027420044 139.8569335938 -28.6402912140 38.2202377319 0.0000000000 0.0000000000 0.0002649438 0.1568531245
-99.1099243164 139.4815216064 -28.6536922455 38.2281455994 0.0000000000 0.0000000000 0.0002953678 0.1830121130
-98.4011383057 139.0699157715 -28.6647872925 38.2278709412 0.0000000000 0.0000000000 0.0003198959 0.2083830386
-97.6800994873 138.6287689209 -28.6661167145 38.2290802002 0.0000000000 0.0000000000 0.0003189109 0.2324710637
-96.9535827637 138.1705169678 -28.6649799347 38.2303199768 0.0000000000 0.0000000000 0.0003107328 0.2552089691
-96.2264175415 137.7043304443 -28.6632919312 38.2304687500 0.0000000000 0.0000000000 0.0002988477 0.2767524123
-95.5003585815 137.2335205078 -28.6603775024 38.2300682068 0.0000000000 0.0000000000 0.0003067029 0.2973862886
-94.7763824463 136.7593536377 -28.6540298462 38.2308311462 0.0000000000 0.0000000000 0.0003092144 0.3172068596
-94.0554428101 136.2816467285 -28.6391906738 38.2381973267 0.0000000000 0.0000000000 0.0003542567 0.3361045718
-93.3397674561 135.7996063232 -28.5990581512 38.2643318176 0.0000000000 0.0000000000 0.0004290355 0.3539552987
-92.6364212036 135.3107147217 -28.4958953857 38.3316688538 0.0000000000 0.0000000000 0.0005798018 0.3698849976
-91.9453430176 134.8163146973 -28.4164352417 38.3800888062 0.0000000000 0.0000000000 0.0006892971 0.3852584362
-91.2661972046 134.3180999756 -28.3730106354 38.4051933289 0.0000000000 0.0000000000 0.0007425841 0.4007120728
-90.5988922119 133.8193359375 -28.3415813446 38.4208335876 0.0000000000 0.0000000000 0.0007627820 0.4167782664
-89.9407424927 133.3212738037 -28.3162479401 38.4337844849 0.0000000000 0.0000000000 0.0007489760 0.4339959025
-89.2929687500 132.8267517090 -28.2956352234 38.4437637329 0.0000000000 0.0000000000 0.0007129947 0.4523918331
-88.6551589966 132.3377990723 -28.2768135071 38.4519577026 0.0000000000 0.0000000000 0.0006321926 0.4718967378
-88.0268020630 131.8560791016 -28.2570419312 38.4596176147 0.0000000000 0.0000000000 0.0005265434 0.4925610423
-87.4073715210 131.3818817139 -28.2368087769 38.4686698914 0.0000000000 0.0000000000 0.0004156708 0.5144650936
-86.7943496704 130.9098510742 -28.2125606537 38.4829063416 0.0000000000 0.0000000000 0.0002892477 0.5377215147
-86.1906356812 130.4432067871 -28.1832695007 38.5000495911 0.0000000000 0.0000000000 0.0001875867 0.5622906685
-85.5952148438 129.9794464111 -28.1508674622 38.5189590454 0.0000000000 0.0000000000 0.0000970807 0.5882061124
-85.0093383789 129.5213775635 -28.1182498932 38.5390815735 0.0000000000 0.0000000000 0.0000409076 0.6155431867
-84.4311904907 129.0651702881 -28.0854492188 38.5599708557 0.0000000000 0.0000000000 0.0000090433 0.6444458961
-83.8615112305 128.6106872559 -28.0527038574 38.5801506042 0.0000000000 0.0000000000 -0.0000262722 0.6748337746
-83.3023910522 128.1593017578 -28.0211524963 38.5998115540 0.0000000000 0.0000000000 -0.0000674926 0.7066950798
-82.7533950806 127.7100753784 -27.9923305511 38.6182022095 0.0000000000 0.0000000000 -0.0000944388 0.7400280237
-82.2125244141 127.2613754272 -27.9674644470 38.6348419189 0.0000000000 0.0000000000 -0.0001160761 0.7748646736
-81.6816024780 126.8153991699 -27.9458522797 38.6485481262 0.0000000000 0.0000000000 -0.0000889703 0.8111264110
-81.1610412598 126.3729095459 -27.9270839691 38.6607475281 0.0000000000 0.0000000000 -0.0000411227 0.8487741351
-80.6492385864 125.9329223633 -27.9101238251 38.6720123291 0.0000000000 0.0000000000 0.0000329948 0.8877876401
-80.1459655762 125.4958114624 -27.8950977325 38.6812896729 0.0000000000 0.0000000000 0.0000945623 0.9280553460
-79.6499633789 125.0601806641 -27.8816642761 38.6893501282 0.0000000000 0.0000000000 0.0000975729 0.9694378376
-79.1605453491 124.6261749268 -27.8695583344 38.6965065002 0.0000000000 0.0000000000 0.0000262459 1.0119184256
-78.6781921387 124.1967773438 -27.8581352234 38.7027664185 0.0000000000 0.0000000000 -0.0001284434 1.0554083586
-78.2022018433 123.7709732056 -27.8475360870 38.7088203430 0.0000000000 0.0000000000 -0.0003637285 1.0997712612
-77.7315139771 123.3464431763 -27.8375358582 38.7140007019 0.0000000000 0.0000000000 -0.0006793577 1.1449366808
-77.2663574219 122.9243087769 -27.8279800415 38.7186698914 0.0000000000 0.0000000000 -0.0010509569 1.1907285452
-76.8062896729 122.5051040649 -27.8186950684 38.7232055664 0.0000000000 0.0000000000 -0.0014560994 1.2370910645
-76.3505020142 122.0885543823 -27.8096942902 38.7274856567 0.0000000000 0.0000000000 -0.0018856684 1.2839272022
-75.8991470337 121.6761322021 -27.8006744385 38.7316856384 0.0000000000 0.0000000000 -0.0023276787 1.3311774731
-75.4519271851 121.2678833008 -27.7918720245 38.7360763550 0.0000000000 0.0000000000 -0.0027897561 1.3787691593
-75.0086669922 120.8628921509 -27.7832603455 38.7404632568 0.0000000000 0.0000000000 -0.0032751563 1.4266207218
-74.5694808960 120.4614562988 -27.7743911743 38.7448997498 0.0000000000 0.0000000000 -0.0037890868 1.4746851921
-74.1340332031 120.0630111694 -27.7651290894 38.7495307922 0.0000000000 0.0000000000 -0.0043463646 1.5228980780
-73.7023544312 119.6687316895 -27.7556362152 38.7543678284 0.0000000000 0.0000000000 -0.0049411012 1.5711697340
-73.2726211548 119.2760162354 -27.7462425232 38.7595252991 0.0000000000 0.0000000000 -0.0055689714 1.6193963289
-72.8464889526 118.8865737915 -27.7367191315 38.7642822266 0.0000000000 0.0000000000 -0.0062341341 1.6676037312
-72.4247817993 118.5023193359 -27.7268600464 38.7687683105 0.0000000000 0.0000000000 -0.0069341362 1.7157504559
-72.0064773560 118.1217651367 -27.7169589996 38.7740097046 0.0000000000 0.0000000000 -0.0076534799 1.7637857199
-71.5920257568 117.7454299927 -27.7069702148 38.7790260315 0.0000000000 0.0000000000 -0.0084138643 1.8117798567
-71.1810302734 117.3722381592 -27.6974201202 38.7841072083 0.0000000000 0.0000000000 -0.0092047621 1.8597718477
-70.7722167969 117.0008850098 -27.6880474091 38.7892265320 0.0000000000 0.0000000000 -0.0100508584 1.9077788591
-70.3664245605 116.6327133179 -27.6784610748 38.7939987183 0.0000000000 0.0000000000 -0.0109470468 1.9558261633
-69.9646606445 116.2688980103 -27.6687870026 38.7982406616 0.0000000000 0.0000000000 -0.0118859485 2.0039484501
-69.5662307739 115.9089050293 -27.6591033936 38.8029022217 0.0000000000 0.0000000000 -0.0128822532 2.0521321297
-69.1708145142 115.5528793335 -27.6494331360 38.8077201843 0.0000000000 0.0000000000 -0.0139622623 2.1004316807
-68.7785110474 115.1991958618 -27.6400260925 38.8123474121 0.0000000000 0.0000000000 -0.0151060205 2.1488907337
-68.3894271851 114.8487548828 -27.6306591034 38.8165817261 0.0000000000 0.0000000000 -0.0163024310 2.1975176334
-68.0035476685 114.5017547607 -27.6208114624 38.8210678101 0.0000000000 0.0000000000 -0.0175594203 2.2462759018
-67.6203613281 114.1567535400 -27.6111602783 38.8255119324 0.0000000000 0.0000000000 -0.0188821554 2.2951707840
-67.2404708862 113.8154525757 -27.6017227173 38.8295402527 0.0000000000 0.0000000000 -0.0202762280 2.3441548347
-66.8643493652 113.4788208008 -27.5928211212 38.8329010010 0.0000000000 0.0000000000 -0.0217206068 2.3933048248
-66.4915847778 113.1459655762 -27.5848751068 38.8361549377 0.0000000000 0.0000000000 -0.0232139435 2.4425985813
-66.1221084595 112.8163375854 -27.5776939392 38.8392639160 0.0000000000 0.0000000000 -0.0247510578 2.4920961857
-65.7541275024 112.4874191284 -27.5711498260 38.8419456482 0.0000000000 0.0000000000 -0.0263399500 2.5416893959
-65.3881759644 112.1603164673 -27.5652656555 38.8440437317 0.0000000000 0.0000000000 -0.0279809386 2.5914173126
-65.0248107910 111.8358764648 -27.5597896576 38.8458328247 0.0000000000 0.0000000000 -0.0296788458 2.6412858963
-64.6641464233 111.5145797729 -27.5545120239 38.8474349976 0.0000000000 0.0000000000 -0.0314292759 2.6912617683
-64.3061141968 111.1964950562 -27.5494060516 38.8490371704 0.0000000000 0.0000000000 -0.0332120284 2.7412700653
-63.9506492615 110.8822860718 -27.5447940826 38.8503189087 0.0000000000 0.0000000000 -0.0350318588 2.7912867069
-63.5983161926 110.5720748901 -27.5407695770 38.8515167236 0.0000000000 0.0000000000 -0.0369144194 2.8412985802
-63.2476768494 110.2646331787 -27.5373191833 38.8526077271 0.0000000000 0.0000000000 -0.0388696752 2.8912184238
-62.8986968994 109.9595031738 -27.5338077545 38.8530349731 0.0000000000 0.0000000000 -0.0409015268 2.9410920143
-62.5518531799 109.6571426392 -27.5307655334 38.8534011841 0.0000000000 0.0000000000 -0.0429992564 2.9908666611
-62.2075881958 109.3579788208 -27.5278568268 38.8537330627 0.0000000000 0.0000000000 -0.0451583862 3.0405864716
-61.8654098511 109.0613327026 -27.5252208710 38.8541183472 0.0000000000 0.0000000000 -0.0473584160 3.0901999474
-61.5262069702 108.7683868408 -27.5225830078 38.8539428711 0.0000000000 0.0000000000 -0.0495823212 3.1397302151
-61.1887817383 108.4775619507 -27.5205287933 38.8539581299 0.0000000000 0.0000000000 -0.0518110432 3.1891388893
-60.8527946472 108.1887130737 -27.5188198090 38.8536262512 0.0000000000 0.0000000000 -0.0540462397 3.2384378910
-60.5198707581 107.9056243896 -27.5167503357 38.8527984619 0.0000000000 0.0000000000 -0.0562798381 3.2877230644
-60.1880493164 107.6240539551 -27.5141544342 38.8527374268 0.0000000000 0.0000000000 -0.0585233271 3.3369202614
-59.8569412231 107.3426284790 -27.5114002228 38.8526725769 0.0000000000 0.0000000000 -0.0608049370 3.3860805035
-59.5278549194 107.0646362305 -27.5084419250 38.8520774841 0.0000000000 0.0000000000 -0.0631067231 3.4353106022
-59.2007217407 106.7903060913 -27.5054283142 38.8514137268 0.0000000000 0.0000000000 -0.0654418170 3.4846091270
-58.8756484985 106.5202941895 -27.5028820038 38.8509101868 0.0000000000 0.0000000000 -0.0678133070 3.5339784622
-58.5526542664 106.2534637451 -27.5003967285 38.8505020142 0.0000000000 0.0000000000 -0.0702000037 3.5833663940
-58.2306327820 105.9889450073 -27.4979553223 38.8499717712 0.0000000000 0.0000000000 -0.0725896806 3.6326994896
-57.9108428955 105.7274398804 -27.4952583313 38.8489761353 0.0000000000 0.0000000000 -0.0749904960 3.6820170879
-57.5918006897 105.4672698975 -27.4924163818 38.8479614258 0.0000000000 0.0000000000 -0.0774070472 3.7313005924
-57.2728729248 105.2087554932 -27.4892959595 38.8470382690 0.0000000000 0.0000000000 -0.0798224956 3.7804501057
-56.9560737610 104.9544372559 -27.4855518341 38.8459892273 0.0000000000 0.0000000000 -0.0822192430 3.8296060562
-56.6410713196 104.7029113770 -27.4819431305 38.8452339172 0.0000000000 0.0000000000 -0.0846034214 3.8787155151
-56.3270797729 104.4525604248 -27.4779872894 38.8445167542 0.0000000000 0.0000000000 -0.0869819149 3.9277408123
-56.0138130188 104.2031555176 -27.4740924835 38.8436698914 0.0000000000 0.0000000000 -0.0893586725 3.9766798019
-55.7023010254 103.9574356079 -27.4696788788 38.8425064087 0.0000000000 0.0000000000 -0.0917264149 4.0255694389
-55.3919639587 103.7141418457 -27.4647197723 38.8415794373 0.0000000000 0.0000000000 -0.0940825120 4.0743765831
