#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
0.0000000000 0.0000000000 584.9851074219 241.1700897217 0.0000000000 0.0000000000 0.0000000000 0.0000000000
-0.0007288454 0.0058787586 356.6511535645 227.0769805908 0.0000000000 0.0000000000 0.0006112701 0.0078381002
-0.0014359473 0.0118065076 224.6297454834 205.0305023193 0.0000000000 0.0000000000 0.0013486944 0.0150317680
-0.0022519967 0.0176814646 271.2899169922 178.8199615479 0.0000000000 0.0000000000 0.0020086588 0.0215434432
-0.0032485495 0.0234546531 284.6287231445 165.2117156982 0.0000000000 0.0000000000 0.0024670295 0.0274912976
-0.0043699229 0.0291974414 238.2831115723 146.2290954590 0.0000000000 0.0000000000 0.0027466652 0.0331884995
-0.0055399942 0.0349639356 170.8639831543 126.5528259277 0.0000000000 0.0000000000 0.0029153607 0.0388093330
-0.0066952696 0.0407714210 114.0370483398 112.9653854370 0.0000000000 0.0000000000 0.0030325977 0.0443752743
-0.0078016273 0.0466137491 80.4444046021 98.6538467407 0.0000000000 0.0000000000 0.0031331689 0.0498225614
-0.0088516716 0.0524779335 63.1435737610 80.0545883179 0.0000000000 0.0000000000 0.0032302861 0.0550791062
-0.0098504610 0.0583523884 49.3201293945 63.7758407593 0.0000000000 0.0000000000 0.0033280819 0.0600739568
-0.0108077964 0.0642297342 35.1228561401 53.0215148926 0.0000000000 0.0000000000 0.0034283511 0.0647486597
-0.0117380619 0.0701038763 22.5212249756 45.1222610474 0.0000000000 0.0000000000 0.0035281263 0.0690726414
-0.0126544628 0.0759726018 12.8601560593 39.2845993042 0.0000000000 0.0000000000 0.0036202995 0.0730462596
-0.0135614518 0.0818373635 5.5337362289 36.3574829102 0.0000000000 0.0000000000 0.0037059432 0.0766832232
-0.0144616691 0.0877010524 -0.8123288155 35.4156494141 0.0000000000 0.0000000000 0.0037840134 0.0800161883
-0.0153589994 0.0935654640 -6.2469248772 35.6370277405 0.0000000000 0.0000000000 0.0038519436 0.0830717906
-0.0162517987 0.0994334891 -10.5915937424 36.4378051758 0.0000000000 0.0000000000 0.0039105262 0.0858721659
-0.0171386115 0.1053070426 -13.9631853104 37.3471183777 0.0000000000 0.0000000000 0.0039615212 0.0884386227
-0.0180188622 0.1111870259 -16.5398445129 38.2594757080 0.0000000000 0.0000000000 0.0040060892 0.0907916948
-0.0188917294 0.1170741245 -18.4532089233 39.0432815552 0.0000000000 0.0000000000 0.0040450487 0.0929489732
-0.0197562352 0.1229685321 -19.8415470123 39.6506080627 0.0000000000 0.0000000000 0.0040796380 0.0949264020
-0.0206120871 0.1288698465 -20.8791656494 40.1433563232 0.0000000000 0.0000000000 0.0041106278 0.0967386365
-0.0214597546 0.1347774267 -21.6935729980 40.5703048706 0.0000000000 0.0000000000 0.0041383808 0.0983995125
-0.0223002601 0.1406905353 -22.3522529602 40.9474563599 0.0000000000 0.0000000000 0.0041630403 0.0999218673
-0.0231344681 0.1466084868 -22.8876762390 41.2741127014 0.0000000000 0.0000000000 0.0041852305 0.1013174281
-0.0239632074 0.1525306404 -23.3237037659 41.5517463684 0.0000000000 0.0000000000 0.0042050849 0.1025967896
-0.0247872900 0.1584564745 -23.6827621460 41.7940521240 0.0000000000 0.0000000000 0.0042226375 0.1037699804
-0.0256074257 0.1643853486 -23.9819507599 42.0088005066 0.0000000000 0.0000000000 0.0042385333 0.1048461050
-0.0264243111 0.1703166962 -24.2327613831 42.2009582520 0.0000000000 0.0000000000 0.0042527844 0.1058334336
-0.0272386204 0.1762499213 -24.4431304932 42.3739700317 0.0000000000 0.0000000000 0.0042656530 0.1067400053
-0.0280509330 0.1821845025 -24.6186294556 42.5298347473 0.0000000000 0.0000000000 0.0042769322 0.1075726375
-0.0288617909 0.1881199926 -24.7623996735 42.6689414978 0.0000000000 0.0000000000 0.0042869402 0.1083380133
-0.0296716411 0.1940558404 -24.8767528534 42.7917976379 0.0000000000 0.0000000000 0.0042954967 0.1090425104
-0.0304809455 0.1999915689 -24.9630241394 42.8995971680 0.0000000000 0.0000000000 0.0043031136 0.1096907035
-0.0312900655 0.2059267610 -25.0223445892 42.9926490784 0.0000000000 0.0000000000 0.0043098349 0.1102886498
-0.0320993699 0.2118609995 -25.0559101105 43.0720062256 0.0000000000 0.0000000000 0.0043152566 0.1108406633
-0.0329091512 0.2177938968 -25.0641345978 43.1383323669 0.0000000000 0.0000000000 0.0043197926 0.1113508567
-0.0337197185 0.2237250954 -25.0473232269 43.1924934387 0.0000000000 0.0000000000 0.0043235491 0.1118229628
