#         rmsthk      stdthk       rmsvel       stdvel       rmsdiv       stddiv       rmsusurf       stdusurf
-0.1377177835 1.3580628633 -25.5456962585 35.3375434875 0.0000000000 0.0000000000 -0.0020703252 0.0748465657
-0.2682700455 2.5168452263 -25.9199943542 34.8797760010 0.0000000000 0.0000000000 -0.0042178566 0.1373712271
-0.3928922117 3.5980618000 -26.3748054504 34.4887924194 0.0000000000 0.0000000000 -0.0062996321 0.1963479817
-0.5117998123 4.6105661392 -26.8037052155 34.1732177734 0.0000000000 0.0000000000 -0.0083443122 0.2525918186
-0.6241496801 5.5624423027 -27.2163085938 33.9374732971 0.0000000000 0.0000000000 -0.0103517314 0.3067309260
-0.7296335101 6.4616641998 -27.6041774750 33.7560462952 0.0000000000 0.0000000000 -0.0122757498 0.3591252863
-0.8286525011 7.3130989075 -27.9686889648 33.6263732910 0.0000000000 0.0000000000 -0.0141106779 0.4099745452
-0.9217150211 8.1222581863 -28.3061428070 33.5383872986 0.0000000000 0.0000000000 -0.0158497021 0.4594390988
-1.0087261200 8.8929338455 -28.6115627289 33.4819183350 0.0000000000 0.0000000000 -0.0175208915 0.5076023936
-1.0899738073 9.6276168823 -28.8936977386 33.4565963745 0.0000000000 0.0000000000 -0.0191115011 0.5545633435
-1.1657894850 10.3285236359 -29.1536998749 33.4604454041 0.0000000000 0.0000000000 -0.0206343252 0.6003982425
-1.2359570265 10.9977922440 -29.3915634155 33.4921684265 0.0000000000 0.0000000000 -0.0220865346 0.6452097893
-1.3005114794 11.6373910904 -29.6101150513 33.5508804321 0.0000000000 0.0000000000 -0.0234813392 0.6890898943
-1.3597373962 12.2487430573 -29.8060245514 33.6249885559 0.0000000000 0.0000000000 -0.0248083714 0.7320812345
-1.4137288332 12.8334732056 -29.9742393494 33.7049598694 0.0000000000 0.0000000000 -0.0260626320 0.7742363811
-1.4625281096 13.3928375244 -30.1173248291 33.7854385376 0.0000000000 0.0000000000 -0.0272771195 0.8156180978
-1.5064600706 13.9286270142 -30.2386608124 33.8691673279 0.0000000000 0.0000000000 -0.0284637995 0.8562653661
-1.5454292297 14.4420433044 -30.3384017944 33.9524650574 0.0000000000 0.0000000000 -0.0296205468 0.8961873055
-1.5798267126 14.9342212677 -30.4178848267 34.0350532532 0.0000000000 0.0000000000 -0.0307528581 0.9354153275
-1.6099369526 15.4060525894 -30.4766635895 34.1149215698 0.0000000000 0.0000000000 -0.0318682641 0.9740106463
-1.6360520124 15.8586645126 -30.5142688751 34.1904907227 0.0000000000 0.0000000000 -0.0329655074 1.0119856596
-1.6584163904 16.2927970886 -30.5358848572 34.2611579895 0.0000000000 0.0000000000 -0.0340403616 1.0493563414
-1.6771512032 16.7086658478 -30.5448894501 34.3286209106 0.0000000000 0.0000000000 -0.0350873731 1.0861431360
-1.6922243834 17.1070652008 -30.5458507538 34.3929939270 0.0000000000 0.0000000000 -0.0361023135 1.1223597527
-1.7038214207 17.4889354706 -30.5391559601 34.4562797546 0.0000000000 0.0000000000 -0.0370797776 1.1580499411
-1.7122735977 17.8550777435 -30.5252227783 34.5170249939 0.0000000000 0.0000000000 -0.0380306207 1.1932486296
-1.7180418968 18.2061138153 -30.5051307678 34.5738029480 0.0000000000 0.0000000000 -0.0389562324 1.2280194759
-1.7214307785 18.5431861877 -30.4803771973 34.6273460388 0.0000000000 0.0000000000 -0.0398497507 1.2623841763
-1.7226543427 18.8674716949 -30.4508228302 34.6798667908 0.0000000000 0.0000000000 -0.0407021195 1.2963658571
-1.7218582630 19.1796989441 -30.4175262451 34.7286109924 0.0000000000 0.0000000000 -0.0415099449 1.3299862146
-1.7192877531 19.4808197021 -30.3828830719 34.7748565674 0.0000000000 0.0000000000 -0.0422728956 1.3632879257
-1.7150614262 19.7709751129 -30.3474578857 34.8179740906 0.0000000000 0.0000000000 -0.0430044197 1.3963112831
-1.7092369795 20.0503082275 -30.3100032806 34.8585014343 0.0000000000 0.0000000000 -0.0437077507 1.4290963411
-1.7017300129 20.3188781738 -30.2717742920 34.8960723877 0.0000000000 0.0000000000 -0.0443856977 1.4616693258
-1.6926305294 20.5772857666 -30.2376632690 34.9278526306 0.0000000000 0.0000000000 -0.0450466461 1.4940217733
-1.6819838285 20.8258895874 -30.2018890381 34.9558105469 0.0000000000 0.0000000000 -0.0456859656 1.5261554718
-1.6699900627 21.0648841858 -30.1645984650 34.9814910889 0.0000000000 0.0000000000 -0.0463017374 1.5580929518
-1.6568735838 21.2947292328 -30.1269435883 35.0025024414 0.0000000000 0.0000000000 -0.0468860194 1.5898596048
-1.6427443027 21.5160446167 -30.0877208710 35.0174942017 0.0000000000 0.0000000000 -0.0474431589 1.6214748621
-1.6276444197 21.7296066284 -30.0470848083 35.0246810913 0.0000000000 0.0000000000 -0.0479749702 1.6529231071
-1.6116952896 21.9360332489 -30.0055942535 35.0268898010 0.0000000000 0.0000000000 -0.0484848469 1.6842252016
-1.5951224566 22.1358108521 -29.9619388580 35.0255355835 0.0000000000 0.0000000000 -0.0489801690 1.7153923512
-1.5778685808 22.3294887543 -29.9167385101 35.0191078186 0.0000000000 0.0000000000 -0.0494622588 1.7464455366
-1.5598862171 22.5175418854 -29.8700656891 35.0103836060 0.0000000000 0.0000000000 -0.0499280617 1.7773882151
-1.5412249565 22.7004318237 -29.8242149353 34.9991493225 0.0000000000 0.0000000000 -0.0503810011 1.8082395792
-1.5221089125 22.8783817291 -29.7789440155 34.9851188660 0.0000000000 0.0000000000 -0.0508311652 1.8389909267
-1.5025390387 23.0517120361 -29.7343082428 34.9664344788 0.0000000000 0.0000000000 -0.0512812249 1.8696613312
-1.4826440811 23.2207012177 -29.6883964539 34.9473304749 0.0000000000 0.0000000000 -0.0517330952 1.9002652168
-1.4623312950 23.3855648041 -29.6391868591 34.9291419983 0.0000000000 0.0000000000 -0.0521914437 1.9308210611
-1.4415993690 23.5462875366 -29.5865936279 34.9123191833 0.0000000000 0.0000000000 -0.0526582487 1.9613301754
